date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,7,-0,0.0,8.7,1,1,100,06:21 PM,08:57 AM,08:32 AM,05:38 PM,-3,-1,3,-1,29,11,68,0.1,1020,7,10,177,14
2010-01-02,9,1,0.0,8.7,1,1,85,07:43 PM,09:40 AM,08:32 AM,05:39 PM,-3,1,4,1,27,19,61,0.0,1016,9,10,176,13
2010-01-03,7,2,0.0,8.7,1,1,77,09:04 PM,10:14 AM,08:32 AM,05:40 PM,-2,1,4,1,18,33,66,0.1,1015,7,10,227,9
2010-01-04,8,2,0.0,8.7,1,1,70,10:21 PM,10:43 AM,08:32 AM,05:41 PM,-3,0,4,0,33,24,61,0.1,1018,8,10,174,17
2010-01-05,6,3,0.0,8.7,1,1,63,11:36 PM,11:09 AM,08:32 AM,05:42 PM,-2,1,4,1,25,30,64,1.2,1019,6,9,181,13
2010-01-06,7,-0,0.0,8.7,1,1,56,No moonrise,11:34 AM,08:32 AM,05:43 PM,-1,0,4,0,28,37,72,2.9,1018,7,10,245,15
2010-01-07,-1,-5,2.9,5.2,1,1,48,12:48 AM,11:59 AM,08:32 AM,05:44 PM,-5,-6,-3,-6,10,69,88,3.4,1026,-1,6,135,8
2010-01-08,-5,-10,2.5,6.9,1,1,41,01:59 AM,12:26 PM,08:32 AM,05:45 PM,-8,-9,-7,-9,8,56,91,3.0,1033,-5,7,228,6
2010-01-09,-5,-12,0.0,8.7,1,1,34,03:09 AM,12:56 PM,08:32 AM,05:46 PM,-14,-13,-9,-13,16,6,70,0.1,1040,-5,10,191,8
2010-01-10,-4,-14,0.0,8.7,1,1,27,04:17 AM,01:32 PM,08:32 AM,05:47 PM,-13,-13,-9,-13,18,1,72,0.0,1045,-4,10,148,9
2010-01-11,-1,-10,0.0,8.7,1,1,19,05:21 AM,02:13 PM,08:31 AM,05:48 PM,-12,-12,-7,-12,26,14,67,0.0,1034,-1,10,179,13
2010-01-12,1,-6,0.0,8.7,1,1,12,06:19 AM,03:02 PM,08:31 AM,05:49 PM,-8,-9,-3,-9,31,14,68,0.0,1024,1,10,182,15
2010-01-13,2,-5,0.0,8.7,1,1,5,07:10 AM,03:58 PM,08:31 AM,05:50 PM,-8,-8,-2,-8,37,27,65,0.0,1019,2,10,187,18
2010-01-14,1,-5,0.0,8.7,1,1,0,07:53 AM,04:57 PM,08:30 AM,05:51 PM,-5,-5,-2,-5,21,37,79,0.3,1024,1,10,193,10
2010-01-15,1,-2,0.0,8.7,1,1,0,08:28 AM,05:59 PM,08:30 AM,05:52 PM,-3,-4,-1,-4,20,41,85,3.5,1022,1,9,235,10
2010-01-16,3,-2,0.0,7.0,1,1,2,08:57 AM,07:01 PM,08:29 AM,05:54 PM,-2,-2,-0,-2,10,60,91,3.9,1025,3,8,183,5
2010-01-17,1,-7,4.9,7.0,1,1,10,09:23 AM,08:03 PM,08:29 AM,05:55 PM,-3,-6,-2,-6,25,61,90,6.4,1022,1,7,250,14
2010-01-18,-9,-13,1.5,8.7,1,1,17,09:45 AM,09:04 PM,08:28 AM,05:56 PM,-12,-15,-11,-15,11,44,89,1.9,1040,-9,7,249,8
2010-01-19,-5,-14,0.0,8.7,1,1,24,10:05 AM,10:05 PM,08:28 AM,05:57 PM,-13,-15,-10,-15,17,1,77,0.0,1042,-5,10,106,9
2010-01-20,-1,-12,0.0,8.7,1,1,31,10:25 AM,11:06 PM,08:27 AM,05:58 PM,-10,-11,-7,-11,20,17,78,0.2,1030,-1,10,134,10
2010-01-21,1,-6,0.0,9.7,1,1,39,10:46 AM,No moonset,08:26 AM,06:00 PM,-4,-4,-3,-4,8,42,90,0.7,1023,1,8,165,4
2010-01-22,2,-4,0.0,8.2,1,1,46,11:09 AM,12:08 AM,08:26 AM,06:01 PM,-2,-3,-0,-3,18,52,86,0.5,1019,2,7,189,9
2010-01-23,1,-4,0.0,9.8,1,1,53,11:35 AM,01:13 AM,08:25 AM,06:02 PM,-3,-3,-2,-3,8,39,91,1.1,1022,1,8,178,4
2010-01-24,-0,-2,0.0,8.2,1,1,60,12:05 PM,02:20 AM,08:24 AM,06:03 PM,-2,-4,-1,-4,13,51,91,1.1,1023,-0,6,215,7
2010-01-25,0,-5,0.7,9.8,1,1,68,12:44 PM,03:30 AM,08:23 AM,06:05 PM,-3,-4,-2,-4,9,37,93,0.9,1027,0,5,230,4
2010-01-26,2,-7,0.0,9.8,1,1,75,01:35 PM,04:39 AM,08:22 AM,06:06 PM,-6,-5,-2,-5,15,8,76,0.0,1023,2,10,146,8
2010-01-27,1,-5,0.0,9.9,1,1,82,02:36 PM,05:44 AM,08:21 AM,06:07 PM,-5,-4,-2,-4,14,34,77,0.6,1022,1,9,118,7
2010-01-28,2,-4,0.0,9.9,1,1,90,03:50 PM,06:41 AM,08:21 AM,06:09 PM,-2,-4,-1,-4,15,27,89,0.2,1020,2,9,174,8
2010-01-29,-2,-6,0.3,8.3,1,1,97,05:10 PM,07:29 AM,08:20 AM,06:10 PM,-6,-7,-4,-7,13,45,90,0.4,1025,-2,8,255,7
2010-01-30,2,-5,0.0,9.9,1,1,100,06:32 PM,08:08 AM,08:19 AM,06:11 PM,-7,-6,-3,-6,22,25,74,0.1,1028,2,10,152,11
