date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-2,-4,0.1,1.8,1,1,100,05:19 PM,09:35 AM,09:01 AM,04:22 PM,-5,-8,-3,-8,21,70,88,0.1,1001,-2,10,98,13
2010-01-02,-3,-6,0.8,1.8,1,1,85,06:55 PM,10:02 AM,09:01 AM,04:23 PM,-6,-11,-4,-11,27,99,90,0.9,1009,-3,7,44,19
2010-01-03,-7,-8,0.1,5.8,1,1,77,08:30 PM,10:22 AM,09:01 AM,04:24 PM,-9,-13,-8,-13,20,54,88,0.1,1017,-7,10,136,13
2010-01-04,-4,-6,0.0,2.7,1,1,70,10:01 PM,10:37 AM,09:00 AM,04:26 PM,-6,-12,-5,-12,35,95,91,0.0,1014,-4,10,227,23
2010-01-05,-4,-6,0.4,2.7,1,1,63,11:29 PM,10:50 AM,09:00 AM,04:27 PM,-6,-11,-5,-11,29,97,94,0.4,1011,-4,9,208,20
2010-01-06,-7,-7,0.0,2.9,1,1,56,No moonrise,11:03 AM,08:59 AM,04:28 PM,-8,-14,-7,-14,28,82,95,0.0,1010,-7,10,113,18
2010-01-07,-4,-7,0.4,2.9,1,1,48,12:54 AM,11:16 AM,08:59 AM,04:30 PM,-6,-9,-5,-9,14,99,93,0.4,1008,-4,8,203,9
2010-01-08,-2,-4,0.6,2.9,1,1,41,02:18 AM,11:31 AM,08:58 AM,04:31 PM,-4,-8,-3,-8,22,85,93,0.7,1022,-2,8,177,14
2010-01-09,-5,-6,0.0,4.8,1,1,34,03:41 AM,11:50 AM,08:58 AM,04:33 PM,-6,-14,-5,-14,46,72,92,0.1,1026,-5,8,69,32
2010-01-10,-5,-7,0.0,4.8,1,1,27,04:59 AM,12:16 PM,08:57 AM,04:34 PM,-7,-15,-6,-15,52,88,92,0.0,1022,-5,10,70,36
2010-01-11,-5,-6,1.5,2.9,1,1,19,06:11 AM,12:51 PM,08:56 AM,04:36 PM,-6,-12,-5,-12,29,100,96,1.7,1020,-5,7,75,20
2010-01-12,-2,-5,0.0,2.9,1,1,12,07:12 AM,01:38 PM,08:55 AM,04:38 PM,-4,-8,-3,-8,20,77,96,0.0,1023,-2,6,76,13
2010-01-13,-4,-9,0.0,6.8,1,1,5,07:59 AM,02:37 PM,08:54 AM,04:39 PM,-7,-11,-6,-11,22,38,94,0.0,1022,-4,8,95,13
2010-01-14,-8,-10,0.0,7.9,1,1,0,08:33 AM,03:46 PM,08:53 AM,04:41 PM,-10,-15,-9,-15,25,4,93,0.0,1024,-8,10,115,13
2010-01-15,-8,-10,0.0,7.9,1,1,0,08:58 AM,04:59 PM,08:52 AM,04:43 PM,-10,-15,-10,-15,21,19,94,0.0,1031,-8,4,121,11
2010-01-16,-6,-11,0.0,7.9,1,1,2,09:16 AM,06:12 PM,08:51 AM,04:44 PM,-9,-16,-8,-16,31,35,95,0.0,1037,-6,10,127,19
2010-01-17,-4,-8,0.0,3.0,1,1,10,09:30 AM,07:26 PM,08:50 AM,04:46 PM,-7,-14,-6,-14,43,85,94,0.3,1028,-4,6,131,29
2010-01-18,-3,-4,0.1,3.0,1,1,17,09:41 AM,08:37 PM,08:49 AM,04:48 PM,-5,-11,-4,-11,38,100,93,0.1,1027,-3,8,133,26
2010-01-19,-5,-7,0.1,3.0,1,1,24,09:51 AM,09:49 PM,08:48 AM,04:50 PM,-7,-13,-6,-13,27,100,95,0.1,1029,-5,10,123,19
2010-01-20,-7,-8,0.3,4.9,1,1,31,10:01 AM,11:02 PM,08:46 AM,04:52 PM,-9,-15,-8,-15,31,95,94,0.4,1030,-7,9,107,22
2010-01-21,-8,-10,0.0,8.1,1,1,39,10:11 AM,No moonset,08:45 AM,04:54 PM,-10,-17,-9,-17,34,67,94,0.0,1034,-8,10,100,23
2010-01-22,-10,-13,0.0,8.1,1,1,46,10:23 AM,12:16 AM,08:44 AM,04:56 PM,-12,-19,-11,-19,29,38,94,0.0,1039,-10,10,109,19
2010-01-23,-12,-14,0.0,8.2,1,1,53,10:38 AM,01:33 AM,08:42 AM,04:58 PM,-14,-21,-13,-21,28,22,95,0.0,1040,-12,10,117,18
2010-01-24,-13,-17,0.0,8.6,1,1,60,10:58 AM,02:53 AM,08:41 AM,05:00 PM,-16,-23,-15,-23,22,17,94,0.0,1041,-13,5,114,12
2010-01-25,-12,-16,0.0,3.2,1,1,68,11:28 AM,04:14 AM,08:39 AM,05:02 PM,-16,-20,-15,-20,16,54,88,0.0,1042,-12,9,122,8
2010-01-26,-6,-17,0.6,3.2,1,1,75,12:12 PM,05:32 AM,08:38 AM,05:04 PM,-12,-15,-11,-15,15,58,89,0.7,1040,-6,8,209,9
2010-01-27,-9,-18,0.1,6.9,1,1,82,01:16 PM,06:37 AM,08:36 AM,05:06 PM,-14,-22,-13,-22,31,65,96,1.1,1022,-9,8,143,21
2010-01-28,-1,-10,0.0,3.3,1,1,90,02:39 PM,07:26 AM,08:35 AM,05:08 PM,-5,-12,-4,-12,47,100,95,4.4,984,-1,5,221,33
2010-01-29,-3,-11,0.5,3.3,1,1,97,04:13 PM,08:00 AM,08:33 AM,05:10 PM,-7,-11,-5,-11,25,91,91,0.6,986,-3,8,262,16
2010-01-30,-1,-5,0.7,3.3,1,1,100,05:51 PM,08:24 AM,08:31 AM,05:12 PM,-3,-9,-2,-9,37,94,95,2.4,985,-1,7,155,25
2010-01-31,-1,-12,0.0,8.7,1,1,100,07:27 PM,08:42 AM,08:30 AM,05:14 PM,-7,-12,-6,-12,29,57,94,0.4,1001,-1,7,220,18
2010-02-01,-3,-13,0.0,6.9,1,1,77,09:00 PM,08:56 AM,08:28 AM,05:16 PM,-9,-12,-8,-12,16,65,93,0.0,1005,-3,8,222,9
2010-02-02,-0,-4,0.8,3.3,1,1,69,10:29 PM,09:10 AM,08:26 AM,05:18 PM,-2,-7,-2,-7,30,91,95,1.0,1007,-0,7,223,19
2010-02-03,-0,-4,0.0,3.4,1,1,62,11:58 PM,09:23 AM,08:24 AM,05:20 PM,-3,-9,-2,-9,43,86,95,0.0,1003,-0,10,171,27
2010-02-04,0,-5,0.5,6.9,1,1,54,No moonrise,09:38 AM,08:22 AM,05:22 PM,-2,-6,-2,-6,27,65,95,0.6,1019,0,8,195,16
2010-02-05,-3,-6,0.0,8.7,1,1,47,01:24 AM,09:56 AM,08:20 AM,05:24 PM,-5,-11,-4,-11,35,38,96,0.0,1027,-3,10,125,21
2010-02-06,-5,-7,0.1,6.9,1,1,39,02:46 AM,10:19 AM,08:19 AM,05:26 PM,-6,-13,-6,-13,30,65,96,0.2,1026,-5,10,110,20
2010-02-07,-6,-9,0.1,3.4,1,1,32,04:01 AM,10:52 AM,08:17 AM,05:29 PM,-8,-12,-7,-12,17,84,97,0.1,1025,-6,6,98,11
2010-02-08,-7,-12,0.0,3.4,1,1,24,05:07 AM,11:35 AM,08:15 AM,05:31 PM,-10,-13,-10,-13,11,79,98,0.0,1018,-7,0,135,6
2010-02-09,-6,-11,0.0,3.5,1,1,16,05:58 AM,12:30 PM,08:13 AM,05:33 PM,-9,-11,-8,-11,10,97,96,0.0,1012,-6,3,147,6
2010-02-10,-6,-10,0.0,3.5,1,1,9,06:36 AM,01:36 PM,08:11 AM,05:35 PM,-8,-13,-7,-13,23,93,97,0.0,1015,-6,8,103,14
2010-02-11,-1,-8,2.8,3.5,1,1,1,07:03 AM,02:47 PM,08:09 AM,05:37 PM,-6,-12,-5,-12,33,94,97,3.3,1016,-1,8,78,23
2010-02-12,-1,-4,2.1,3.5,1,1,0,07:23 AM,04:01 PM,08:07 AM,05:39 PM,-3,-8,-2,-8,29,100,96,2.5,1012,-1,7,92,19
2010-02-13,-2,-5,0.2,3.5,1,1,0,07:38 AM,05:14 PM,08:04 AM,05:41 PM,-4,-8,-3,-8,17,98,97,0.3,1014,-2,7,92,12
2010-02-14,-2,-4,0.0,3.5,1,1,0,07:50 AM,06:26 PM,08:02 AM,05:43 PM,-4,-8,-3,-8,20,96,96,0.1,1013,-2,9,65,14
2010-02-15,-4,-10,0.0,3.5,1,1,6,08:01 AM,07:39 PM,08:00 AM,05:45 PM,-6,-9,-6,-9,13,97,96,0.0,1011,-4,2,69,8
2010-02-16,-3,-9,0.0,3.7,1,1,13,08:11 AM,08:50 PM,07:58 AM,05:47 PM,-6,-9,-5,-9,13,76,96,0.0,1010,-3,2,133,8
2010-02-17,-3,-10,0.1,3.7,1,1,21,08:21 AM,10:04 PM,07:56 AM,05:49 PM,-6,-10,-5,-10,22,86,97,0.1,1009,-3,7,134,14
2010-02-18,0,-2,1.1,3.7,1,1,29,08:32 AM,11:20 PM,07:54 AM,05:51 PM,-1,-6,-1,-6,25,100,97,1.5,1003,0,7,116,16
2010-02-19,1,1,0.0,3.8,1,1,36,08:46 AM,No moonset,07:52 AM,05:53 PM,1,-3,1,-3,24,100,99,1.0,999,1,7,178,14
2010-02-20,1,-1,0.2,3.8,1,1,44,09:04 AM,12:37 AM,07:49 AM,05:55 PM,0,-4,0,-4,27,100,98,1.2,992,1,7,212,17
2010-02-21,0,-2,0.0,3.8,1,1,51,09:29 AM,01:56 AM,07:47 AM,05:57 PM,-2,-6,-1,-6,26,99,94,0.0,998,0,10,243,16
2010-02-22,0,-6,0.0,7.1,1,1,59,10:05 AM,03:13 AM,07:45 AM,05:59 PM,-3,-8,-3,-8,27,80,95,0.0,1002,0,8,196,17
2010-02-23,2,-0,0.0,5.3,1,1,66,10:58 AM,04:21 AM,07:43 AM,06:01 PM,1,-5,1,-5,41,100,98,0.0,994,2,10,221,24
2010-02-24,-1,-5,0.0,10.0,1,1,74,12:09 PM,05:16 AM,07:40 AM,06:03 PM,-3,-7,-3,-7,21,56,95,0.0,1008,-1,7,91,13
2010-02-25,1,-4,0.0,5.3,1,1,81,01:36 PM,05:56 AM,07:38 AM,06:05 PM,-1,-5,-1,-5,25,100,98,0.0,1007,1,8,126,15
2010-02-26,2,1,0.0,5.4,1,1,89,03:11 PM,06:23 AM,07:36 AM,06:07 PM,1,-3,1,-3,34,100,100,0.3,1001,2,10,149,19
2010-02-27,2,1,0.0,5.4,1,1,97,04:46 PM,06:44 AM,07:33 AM,06:09 PM,1,-3,1,-3,27,99,99,0.6,1001,2,8,193,15
2010-02-28,3,1,0.0,8.5,1,1,100,06:21 PM,07:00 AM,07:31 AM,06:11 PM,1,-4,2,-4,40,75,97,0.0,1001,3,10,158,23
2010-03-01,5,0,0.0,5.4,1,1,100,07:54 PM,07:15 AM,07:28 AM,06:13 PM,2,-3,2,-3,52,92,95,2.5,991,5,8,211,30
2010-03-02,1,-0,0.0,5.4,1,1,85,09:25 PM,07:29 AM,07:26 AM,06:15 PM,-1,-6,0,-6,48,89,92,1.4,1005,1,8,272,30
2010-03-03,0,-3,0.2,8.5,1,1,78,10:55 PM,07:43 AM,07:24 AM,06:17 PM,-3,-7,-1,-7,38,42,87,0.3,1011,0,10,274,23
2010-03-04,-1,-4,0.3,5.5,1,1,71,No moonrise,08:01 AM,07:21 AM,06:19 PM,-5,-8,-3,-8,27,76,86,0.4,1013,-1,8,302,17
2010-03-05,-1,-5,0.0,5.5,1,1,63,12:22 AM,08:22 AM,07:19 AM,06:21 PM,-4,-7,-3,-7,17,85,91,0.0,1014,-1,8,270,11
2010-03-06,-3,-7,0.0,11.1,1,1,56,01:43 AM,08:52 AM,07:16 AM,06:23 PM,-6,-9,-4,-9,20,48,89,0.0,1022,-3,10,71,14
2010-03-07,-1,-7,0.0,5.6,1,1,49,02:55 AM,09:32 AM,07:14 AM,06:25 PM,-5,-6,-4,-6,12,57,88,0.0,1028,-1,9,168,6
2010-03-08,-1,-8,0.0,11.2,1,1,42,03:52 AM,10:24 AM,07:11 AM,06:27 PM,-7,-8,-5,-8,14,16,87,0.0,1030,-1,8,169,8
2010-03-09,-0,-6,0.4,8.6,1,1,34,04:35 AM,11:27 AM,07:09 AM,06:29 PM,-4,-8,-3,-8,26,42,92,0.5,1026,-0,9,244,15
2010-03-10,2,-6,0.0,11.3,1,1,27,05:06 AM,12:36 PM,07:06 AM,06:31 PM,-4,-5,-2,-5,17,8,88,0.0,1030,2,9,252,9
2010-03-11,1,-5,0.0,11.3,1,1,20,05:28 AM,01:49 PM,07:04 AM,06:33 PM,-3,-3,-1,-3,11,1,87,0.0,1019,1,10,155,6
2010-03-12,1,-5,0.8,7.2,1,1,12,05:45 AM,03:02 PM,07:01 AM,06:35 PM,-3,-6,-2,-6,19,52,91,1.0,1008,1,8,265,12
2010-03-13,1,-3,1.2,8.7,1,1,5,05:58 AM,04:14 PM,06:59 AM,06:37 PM,-3,-5,-1,-5,25,67,87,1.4,1006,1,9,303,16
2010-03-14,1,-4,0.2,11.6,1,1,0,06:10 AM,05:27 PM,06:56 AM,06:39 PM,-3,-6,-1,-6,25,31,89,0.2,1004,1,10,270,16
2010-03-15,1,-5,1.6,8.8,1,1,0,06:20 AM,06:39 PM,06:54 AM,06:41 PM,-4,-7,-2,-7,29,38,88,1.9,1008,1,9,290,17
2010-03-16,1,-5,0.2,11.6,1,1,2,06:30 AM,07:53 PM,06:51 AM,06:43 PM,-4,-6,-2,-6,24,32,86,0.3,1013,1,10,303,14
2010-03-17,1,-3,1.9,6.0,1,1,9,06:42 AM,09:08 PM,06:48 AM,06:45 PM,-1,-5,-1,-5,27,79,96,2.2,1017,1,7,267,16
2010-03-18,4,1,0.0,6.0,1,1,16,06:55 AM,10:25 PM,06:46 AM,06:47 PM,2,-1,3,-1,24,99,99,0.7,1019,4,5,238,13
2010-03-19,9,4,0.0,7.4,1,1,24,07:12 AM,11:44 PM,06:43 AM,06:49 PM,5,3,6,3,38,74,94,0.0,1014,9,10,232,20
2010-03-20,9,6,0.0,6.1,1,1,31,07:35 AM,No moonset,06:41 AM,06:51 PM,7,4,7,4,38,93,97,1.2,1008,9,10,233,20
2010-03-21,11,4,0.0,6.1,1,1,38,08:07 AM,01:01 AM,06:38 AM,06:53 PM,7,4,8,4,44,98,96,3.5,1005,11,9,253,24
2010-03-22,4,1,0.3,11.6,1,1,46,08:53 AM,02:11 AM,06:36 AM,06:55 PM,0,-2,2,-2,27,59,89,0.4,1019,4,9,296,17
2010-03-23,7,1,0.0,8.9,1,1,53,09:56 AM,03:09 AM,06:33 AM,06:57 PM,3,0,4,0,32,71,93,0.5,1017,7,7,226,18
2010-03-24,5,2,0.0,8.9,1,1,60,11:15 AM,03:52 AM,06:31 AM,06:59 PM,3,0,4,0,27,81,93,0.0,1020,5,9,250,16
2010-03-25,12,2,0.0,11.6,1,1,67,12:42 PM,04:23 AM,06:28 AM,07:01 PM,4,3,7,3,36,19,82,0.0,1020,12,10,137,19
2010-03-26,16,7,0.0,10.3,1,1,75,02:14 PM,04:46 AM,06:26 AM,07:03 PM,9,9,11,9,31,42,90,0.2,1010,16,10,170,16
2010-03-27,10,5,0.0,6.4,1,1,82,03:46 PM,05:04 AM,06:23 AM,07:05 PM,6,4,7,4,40,86,93,5.3,998,10,9,178,23
2010-03-28,7,4,0.0,7.7,1,1,89,05:18 PM,05:19 AM,06:21 AM,07:07 PM,5,2,5,2,38,84,94,3.2,1003,7,9,238,22
2010-03-29,8,4,0.0,10.3,1,1,96,06:49 PM,05:33 AM,06:18 AM,07:09 PM,4,3,6,3,24,59,91,1.4,1006,8,9,210,14
2010-03-30,11,2,0.0,7.8,1,1,100,08:19 PM,05:48 AM,06:16 AM,07:11 PM,6,6,7,6,17,48,90,1.3,1006,11,8,120,9
2010-03-31,16,8,0.0,10.3,1,1,100,09:49 PM,06:04 AM,06:13 AM,07:13 PM,10,10,12,10,34,49,89,4.8,1000,16,10,139,18
2010-04-01,11,5,0.0,11.6,1,1,77,11:16 PM,06:24 AM,06:11 AM,07:15 PM,5,6,8,6,19,39,85,1.3,1008,11,10,190,11
2010-04-02,9,3,0.0,11.6,1,1,70,No moonrise,06:51 AM,06:08 AM,07:16 PM,2,4,6,4,18,20,79,0.0,1017,9,10,40,10
2010-04-03,7,0,0.0,11.6,1,1,62,12:33 AM,07:27 AM,06:06 AM,07:18 PM,0,1,4,1,15,27,80,0.0,1018,7,10,306,9
2010-04-04,12,0,0.0,11.6,1,1,55,01:39 AM,08:15 AM,06:03 AM,07:20 PM,2,4,6,4,20,17,74,0.0,1017,12,10,132,11
2010-04-05,12,5,0.0,9.1,1,1,47,02:29 AM,09:16 AM,06:01 AM,07:22 PM,5,6,8,6,20,61,86,1.4,1018,12,10,242,12
2010-04-06,7,1,0.0,10.9,1,1,40,03:05 AM,10:23 AM,05:58 AM,07:24 PM,3,2,5,2,22,69,88,0.1,1026,7,9,330,15
2010-04-07,9,1,0.0,12.1,1,1,32,03:31 AM,11:36 AM,05:56 AM,07:26 PM,2,3,5,3,14,38,82,0.0,1028,9,10,72,8
2010-04-08,12,2,0.0,13.8,1,1,24,03:50 AM,12:49 PM,05:53 AM,07:28 PM,4,5,7,5,17,8,80,0.0,1027,12,9,122,9
