date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-8,-16,0.0,2.8,1,1,100,04:59 PM,09:32 AM,08:59 AM,04:07 PM,-10,-13,-10,-13,10,92,99,0.0,1006,-8,0,274,6
2010-01-02,-10,-13,0.1,2.8,1,1,85,06:37 PM,09:58 AM,08:59 AM,04:08 PM,-11,-17,-11,-17,18,100,98,0.2,1007,-10,3,20,12
2010-01-03,-15,-21,0.0,2.8,1,1,77,08:14 PM,10:16 AM,08:59 AM,04:09 PM,-18,-27,-18,-27,23,100,98,0.0,1009,-15,8,333,15
2010-01-04,-13,-23,0.0,2.8,1,1,70,09:48 PM,10:30 AM,08:58 AM,04:11 PM,-18,-25,-18,-25,18,96,99,0.0,1015,-13,3,248,11
2010-01-05,-11,-16,0.2,2.8,1,1,63,11:17 PM,10:41 AM,08:58 AM,04:12 PM,-14,-20,-14,-20,20,94,98,0.2,1022,-11,6,209,12
2010-01-06,-13,-16,0.0,2.8,1,1,56,No moonrise,10:53 AM,08:57 AM,04:14 PM,-14,-21,-14,-21,17,98,99,0.1,1028,-13,4,171,11
2010-01-07,-9,-15,0.7,2.8,1,1,48,12:44 AM,11:04 AM,08:57 AM,04:15 PM,-12,-20,-11,-20,35,100,98,2.8,1023,-9,7,142,23
2010-01-08,-5,-8,1.2,2.9,1,1,41,02:09 AM,11:18 AM,08:56 AM,04:17 PM,-7,-12,-7,-12,20,100,98,1.4,1021,-5,4,203,13
2010-01-09,-7,-17,0.1,2.9,1,1,34,03:34 AM,11:35 AM,08:55 AM,04:18 PM,-11,-16,-11,-16,16,81,98,0.1,1033,-7,1,227,9
2010-01-10,-15,-22,0.0,7.7,1,1,27,04:54 AM,11:59 AM,08:54 AM,04:20 PM,-17,-21,-16,-21,12,5,97,0.0,1036,-15,2,91,6
2010-01-11,-11,-23,0.0,7.7,1,1,19,06:08 AM,12:32 PM,08:54 AM,04:21 PM,-16,-17,-16,-17,7,7,93,0.0,1031,-11,10,202,3
2010-01-12,-10,-17,0.0,7.7,1,1,12,07:10 AM,01:18 PM,08:53 AM,04:23 PM,-13,-17,-12,-17,16,11,92,0.0,1026,-10,8,270,8
2010-01-13,-8,-16,0.0,2.9,1,1,5,07:57 AM,02:17 PM,08:52 AM,04:25 PM,-12,-16,-11,-16,15,66,98,0.0,1021,-8,3,279,8
2010-01-14,-8,-15,0.1,2.9,1,1,0,08:31 AM,03:27 PM,08:51 AM,04:27 PM,-11,-14,-11,-14,10,85,99,0.1,1026,-8,3,188,5
2010-01-15,-11,-19,0.0,6.8,1,1,0,08:54 AM,04:41 PM,08:50 AM,04:28 PM,-15,-18,-15,-18,8,49,99,0.0,1031,-11,0,193,4
2010-01-16,-12,-23,0.0,7.8,1,1,2,09:11 AM,05:56 PM,08:48 AM,04:30 PM,-17,-20,-17,-20,9,33,100,0.0,1044,-12,0,131,5
2010-01-17,-15,-24,0.0,7.9,1,1,10,09:24 AM,07:11 PM,08:47 AM,04:32 PM,-17,-21,-16,-21,13,10,97,0.0,1049,-15,1,217,7
2010-01-18,-15,-26,0.0,7.9,1,1,17,09:34 AM,08:24 PM,08:46 AM,04:34 PM,-18,-21,-18,-21,8,1,94,0.0,1048,-15,6,204,4
2010-01-19,-15,-26,0.0,7.9,1,1,24,09:43 AM,09:37 PM,08:45 AM,04:36 PM,-20,-23,-19,-23,11,12,93,0.0,1045,-15,7,87,6
2010-01-20,-16,-22,0.0,3.0,1,1,31,09:52 AM,10:51 PM,08:43 AM,04:38 PM,-18,-24,-18,-24,16,79,98,0.0,1045,-16,2,83,9
2010-01-21,-15,-20,0.0,3.0,1,1,39,10:01 AM,No moonset,08:42 AM,04:40 PM,-17,-24,-17,-24,18,92,99,0.0,1047,-15,3,63,11
2010-01-22,-17,-22,0.0,3.0,1,1,46,10:11 AM,12:06 AM,08:40 AM,04:42 PM,-19,-26,-19,-26,19,85,99,0.0,1046,-17,3,23,11
2010-01-23,-19,-23,0.0,3.0,1,1,53,10:24 AM,01:25 AM,08:39 AM,04:44 PM,-21,-27,-21,-27,16,85,99,0.0,1041,-19,0,19,9
2010-01-24,-17,-23,0.1,3.0,1,1,60,10:43 AM,02:46 AM,08:37 AM,04:46 PM,-19,-26,-19,-26,18,74,98,0.1,1036,-17,2,289,10
2010-01-25,-16,-22,0.5,3.0,1,1,68,11:11 AM,04:09 AM,08:36 AM,04:48 PM,-18,-23,-18,-23,12,100,98,0.6,1035,-16,4,164,7
2010-01-26,-20,-26,0.3,3.1,1,1,75,11:53 AM,05:29 AM,08:34 AM,04:50 PM,-22,-28,-22,-28,12,100,98,0.3,1038,-20,3,134,8
2010-01-27,-18,-25,0.0,3.1,1,1,82,12:55 PM,06:35 AM,08:33 AM,04:52 PM,-22,-27,-21,-27,12,75,98,0.0,1034,-18,0,204,6
2010-01-28,-16,-22,0.0,3.1,1,1,90,02:19 PM,07:24 AM,08:31 AM,04:55 PM,-19,-26,-19,-26,18,98,99,0.0,1017,-16,3,150,10
2010-01-29,-13,-17,0.2,3.1,1,1,97,03:55 PM,07:56 AM,08:29 AM,04:57 PM,-15,-23,-14,-23,29,98,98,0.2,1007,-13,9,143,19
2010-01-30,-11,-15,0.1,3.1,1,1,100,05:35 PM,08:18 AM,08:27 AM,04:59 PM,-13,-18,-13,-18,14,88,98,0.2,1009,-11,2,153,9
2010-01-31,-8,-13,0.3,3.3,1,1,100,07:12 PM,08:35 AM,08:25 AM,05:01 PM,-10,-17,-10,-17,27,90,98,0.4,1017,-8,9,140,16
