date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-28,-37,0.0,1.9,1,1,100,05:51 PM,10:21 AM,09:54 AM,05:10 PM,-32,-40,-32,-40,17,95,98,0.0,1032,-28,4,98,10
2010-01-02,-28,-38,0.0,1.9,1,1,85,07:27 PM,10:50 AM,09:53 AM,05:11 PM,-32,-41,-32,-41,20,71,98,0.0,1035,-28,4,152,12
2010-01-03,-22,-33,0.0,3.9,1,1,77,09:03 PM,11:11 AM,09:53 AM,05:13 PM,-28,-38,-28,-38,25,58,97,0.0,1035,-22,7,55,14
2010-01-04,-21,-26,0.0,5.8,1,1,70,10:35 PM,11:26 AM,09:53 AM,05:14 PM,-23,-34,-23,-34,33,43,96,0.0,1031,-21,10,53,19
2010-01-05,-22,-25,0.0,5.8,1,1,63,No moonrise,11:39 AM,09:52 AM,05:15 PM,-24,-35,-24,-35,35,29,95,0.0,1031,-22,10,58,21
2010-01-06,-26,-30,0.0,1.9,1,1,56,12:04 AM,11:51 AM,09:52 AM,05:17 PM,-28,-40,-28,-40,34,71,97,0.0,1030,-26,10,44,21
2010-01-07,-30,-36,0.0,1.9,1,1,48,01:31 AM,12:03 PM,09:51 AM,05:18 PM,-33,-43,-32,-43,23,97,97,0.0,1031,-30,8,103,14
2010-01-08,-31,-39,0.0,1.9,1,1,41,02:55 AM,12:17 PM,09:51 AM,05:20 PM,-34,-41,-34,-41,11,99,99,0.0,1043,-31,0,221,6
2010-01-09,-27,-33,0.1,1.9,1,1,34,04:18 AM,12:35 PM,09:50 AM,05:21 PM,-30,-39,-30,-39,16,100,96,0.1,1049,-27,4,201,10
2010-01-10,-24,-28,0.0,1.9,1,1,27,05:39 AM,12:59 PM,09:49 AM,05:23 PM,-27,-37,-27,-37,21,93,97,0.0,1047,-24,7,187,14
2010-01-11,-10,-20,0.7,1.9,1,1,19,06:52 AM,01:32 PM,09:49 AM,05:24 PM,-14,-23,-14,-23,37,99,96,2.0,1028,-10,7,177,23
2010-01-12,-10,-20,0.2,1.9,1,1,12,07:56 AM,02:16 PM,09:48 AM,05:26 PM,-15,-22,-15,-22,24,99,97,0.3,1016,-10,7,234,15
2010-01-13,-17,-23,0.0,2.0,1,1,5,08:45 AM,03:14 PM,09:47 AM,05:28 PM,-21,-31,-20,-31,35,98,96,0.0,1021,-17,10,205,22
2010-01-14,-10,-18,0.0,2.0,1,1,0,09:21 AM,04:21 PM,09:46 AM,05:30 PM,-14,-22,-14,-22,31,97,97,0.4,1011,-10,7,189,19
2010-01-15,-10,-22,0.0,3.9,1,1,0,09:46 AM,05:35 PM,09:45 AM,05:31 PM,-17,-25,-16,-25,31,89,97,0.3,1014,-10,6,227,19
2010-01-16,-19,-27,0.2,2.0,1,1,2,10:04 AM,06:48 PM,09:44 AM,05:33 PM,-23,-33,-22,-33,30,100,97,0.2,1025,-19,9,231,19
2010-01-17,-27,-40,0.0,2.0,1,1,10,10:18 AM,08:02 PM,09:43 AM,05:35 PM,-31,-39,-31,-39,16,99,98,0.0,1033,-27,4,254,10
2010-01-18,-32,-43,0.0,5.8,1,1,17,10:30 AM,09:15 PM,09:42 AM,05:37 PM,-38,-45,-38,-45,11,66,99,0.0,1048,-32,0,273,6
2010-01-19,-28,-36,0.0,5.8,1,1,24,10:40 AM,10:27 PM,09:40 AM,05:39 PM,-32,-40,-32,-40,17,53,95,0.0,1067,-28,4,210,9
2010-01-20,-25,-37,0.0,5.8,1,1,31,10:49 AM,11:40 PM,09:39 AM,05:41 PM,-30,-35,-29,-35,13,36,94,0.0,1066,-25,7,246,6
2010-01-21,-22,-30,0.0,5.8,1,1,39,10:59 AM,No moonset,09:38 AM,05:42 PM,-25,-31,-25,-31,14,11,93,0.0,1057,-22,8,297,7
2010-01-22,-21,-32,0.0,5.8,1,1,46,11:10 AM,12:54 AM,09:36 AM,05:44 PM,-25,-29,-25,-29,9,3,97,0.0,1044,-21,1,193,5
2010-01-23,-23,-29,0.0,3.9,1,1,53,11:24 AM,02:11 AM,09:35 AM,05:46 PM,-25,-32,-25,-32,16,44,97,0.0,1042,-23,2,98,8
2010-01-24,-21,-32,0.0,5.8,1,1,60,11:43 AM,03:31 AM,09:33 AM,05:48 PM,-27,-30,-26,-30,9,6,92,0.0,1039,-21,8,214,5
2010-01-25,-17,-27,0.2,5.8,1,1,68,12:10 PM,04:53 AM,09:32 AM,05:50 PM,-21,-27,-20,-27,19,58,91,0.2,1025,-17,8,265,11
2010-01-26,-19,-36,0.0,2.1,1,1,75,12:51 PM,06:12 AM,09:30 AM,05:52 PM,-30,-40,-30,-40,23,61,98,0.0,1042,-19,7,23,13
2010-01-27,-24,-39,0.0,5.8,1,1,82,01:51 PM,07:20 AM,09:29 AM,05:54 PM,-31,-39,-30,-39,22,15,93,0.0,1046,-24,8,224,13
2010-01-28,-19,-24,0.0,5.8,1,1,90,03:12 PM,08:11 AM,09:27 AM,05:56 PM,-23,-33,-22,-33,35,11,94,0.0,1044,-19,10,234,20
2010-01-29,-20,-29,0.0,5.8,1,1,97,04:45 PM,08:47 AM,09:25 AM,05:58 PM,-25,-30,-24,-30,16,20,87,0.0,1038,-20,10,284,8
2010-01-30,-18,-27,0.0,6.9,1,1,100,06:23 PM,09:12 AM,09:24 AM,06:00 PM,-24,-29,-23,-29,15,47,88,0.0,1038,-18,7,76,8
2010-01-31,-20,-26,0.0,8.7,1,1,100,08:00 PM,09:30 AM,09:22 AM,06:02 PM,-23,-30,-23,-30,18,37,97,0.0,1041,-20,2,27,9
2010-02-01,-22,-29,0.0,8.7,1,1,77,09:34 PM,09:45 AM,09:20 AM,06:04 PM,-27,-33,-26,-33,15,29,93,0.0,1044,-22,7,44,8
2010-02-02,-24,-28,0.0,3.3,1,1,69,11:05 PM,09:58 AM,09:18 AM,06:06 PM,-27,-36,-26,-36,23,73,95,0.0,1041,-24,8,34,13
2010-02-03,-23,-29,0.0,3.3,1,1,62,No moonrise,10:10 AM,09:16 AM,06:08 PM,-26,-37,-26,-37,28,84,97,0.0,1037,-23,10,32,17
2010-02-04,-24,-29,0.0,5.1,1,1,54,12:33 AM,10:24 AM,09:15 AM,06:11 PM,-27,-38,-27,-38,30,74,97,0.0,1031,-24,10,17,18
2010-02-05,-24,-29,0.0,3.4,1,1,47,02:00 AM,10:41 AM,09:13 AM,06:13 PM,-27,-32,-27,-32,12,100,98,0.0,1024,-24,3,201,7
2010-02-06,-25,-31,0.1,3.4,1,1,39,03:24 AM,11:03 AM,09:11 AM,06:15 PM,-28,-33,-27,-33,10,100,98,0.1,1028,-25,1,103,6
2010-02-07,-25,-34,0.2,3.4,1,1,32,04:42 AM,11:33 AM,09:09 AM,06:17 PM,-29,-38,-29,-38,19,100,98,0.2,1038,-25,6,245,12
2010-02-08,-25,-33,0.1,3.4,1,1,24,05:49 AM,12:14 PM,09:07 AM,06:19 PM,-29,-37,-29,-37,15,100,97,0.1,1043,-25,6,209,10
2010-02-09,-26,-40,0.0,6.9,1,1,16,06:43 AM,01:08 PM,09:05 AM,06:21 PM,-34,-37,-34,-37,7,77,99,0.0,1050,-26,1,132,4
2010-02-10,-25,-34,0.0,3.5,1,1,9,07:23 AM,02:12 PM,09:02 AM,06:23 PM,-30,-39,-30,-39,19,73,98,0.0,1055,-25,0,20,10
2010-02-11,-26,-33,0.0,4.6,1,1,1,07:51 AM,03:23 PM,09:00 AM,06:25 PM,-30,-39,-30,-39,21,86,98,0.0,1053,-26,1,14,11
2010-02-12,-23,-36,0.0,9.7,1,1,0,08:11 AM,04:36 PM,08:58 AM,06:27 PM,-30,-37,-30,-37,14,59,98,0.0,1049,-23,1,208,7
2010-02-13,-20,-27,0.1,4.9,1,1,0,08:27 AM,05:51 PM,08:56 AM,06:29 PM,-24,-35,-23,-35,37,81,96,0.5,1040,-20,6,205,23
2010-02-14,-11,-20,0.8,4.9,1,1,0,08:39 AM,07:03 PM,08:54 AM,06:32 PM,-17,-26,-16,-26,38,100,96,1.0,1025,-11,6,230,24
2010-02-15,-13,-18,0.1,4.9,1,1,6,08:50 AM,08:16 PM,08:52 AM,06:34 PM,-15,-24,-15,-24,34,100,97,0.3,1031,-13,9,230,21
2010-02-16,-9,-12,0.0,4.9,1,1,13,08:59 AM,09:29 PM,08:49 AM,06:36 PM,-10,-19,-10,-19,54,100,96,0.9,1025,-9,9,231,34
2010-02-17,-8,-10,0.0,5.0,1,1,21,09:09 AM,10:42 PM,08:47 AM,06:38 PM,-10,-19,-9,-19,50,99,93,0.0,1020,-8,10,211,30
2010-02-18,-2,-8,0.0,5.0,1,1,29,09:20 AM,11:57 PM,08:45 AM,06:40 PM,-6,-13,-5,-13,49,99,95,1.6,999,-2,7,203,31
2010-02-19,-5,-22,0.0,5.0,1,1,36,09:33 AM,No moonset,08:43 AM,06:42 PM,-17,-27,-16,-27,41,100,95,0.4,1013,-5,6,245,27
2010-02-20,-15,-28,0.3,5.0,1,1,44,09:49 AM,01:15 AM,08:40 AM,06:44 PM,-22,-31,-22,-31,29,89,97,0.4,1022,-15,6,185,17
2010-02-21,-10,-24,0.6,5.0,1,1,51,10:12 AM,02:35 AM,08:38 AM,06:46 PM,-16,-26,-15,-26,41,100,95,1.8,1006,-10,7,232,28
