date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-3,-9,0.0,3.0,1,1,100,05:16 PM,09:01 AM,08:30 AM,04:24 PM,-7,-13,-6,-13,30,95,97,1.7,1001,-3,5,182,20
2010-01-02,-3,-8,3.5,3.0,1,1,85,06:47 PM,09:34 AM,08:29 AM,04:25 PM,-6,-12,-5,-12,35,100,97,5.3,997,-3,7,44,23
2010-01-03,-7,-16,0.0,3.0,1,1,77,08:17 PM,09:58 AM,08:29 AM,04:26 PM,-11,-19,-11,-19,36,97,96,0.0,1003,-7,10,333,24
2010-01-04,-18,-22,0.0,8.0,1,1,70,09:45 PM,10:17 AM,08:29 AM,04:27 PM,-20,-27,-20,-27,21,34,97,0.0,1019,-18,3,299,10
2010-01-05,-17,-24,0.0,8.0,1,1,63,11:08 PM,10:34 AM,08:29 AM,04:28 PM,-20,-26,-20,-26,19,41,95,0.0,1028,-17,3,206,9
2010-01-06,-11,-21,0.0,4.9,1,1,56,No moonrise,10:51 AM,08:28 AM,04:30 PM,-14,-20,-14,-20,26,62,97,0.0,1030,-11,6,137,13
2010-01-07,-5,-11,0.0,3.0,1,1,48,12:29 AM,11:08 AM,08:28 AM,04:31 PM,-9,-17,-8,-17,48,90,95,5.0,1025,-5,6,136,29
2010-01-08,-1,-5,0.7,3.0,1,1,41,01:50 AM,11:27 AM,08:28 AM,04:32 PM,-3,-7,-3,-7,21,92,97,0.8,1025,-1,5,206,13
2010-01-09,-1,-9,0.0,3.0,1,1,34,03:08 AM,11:49 AM,08:27 AM,04:34 PM,-3,-7,-3,-7,19,100,99,5.1,1030,-1,5,106,12
2010-01-10,-4,-8,0.8,3.0,1,1,27,04:22 AM,12:18 PM,08:27 AM,04:35 PM,-7,-14,-6,-14,37,79,97,0.9,1029,-4,9,65,24
2010-01-11,-9,-10,0.0,4.9,1,1,19,05:32 AM,12:56 PM,08:26 AM,04:36 PM,-10,-18,-10,-18,36,71,94,0.0,1026,-9,10,82,22
2010-01-12,-7,-10,0.0,4.9,1,1,12,06:32 AM,01:44 PM,08:25 AM,04:38 PM,-9,-15,-8,-15,31,77,95,0.0,1024,-7,10,93,18
2010-01-13,-6,-13,0.4,6.8,1,1,5,07:21 AM,02:41 PM,08:25 AM,04:39 PM,-9,-14,-9,-14,16,61,96,0.5,1019,-6,4,65,9
2010-01-14,-12,-15,0.0,8.2,1,1,0,07:58 AM,03:46 PM,08:24 AM,04:41 PM,-14,-20,-14,-20,22,30,96,0.0,1025,-12,3,58,11
2010-01-15,-14,-17,0.0,3.1,1,1,0,08:26 AM,04:55 PM,08:23 AM,04:42 PM,-16,-23,-15,-23,25,77,97,0.0,1030,-14,9,63,13
2010-01-16,-15,-21,0.0,8.2,1,1,2,08:48 AM,06:05 PM,08:22 AM,04:44 PM,-18,-26,-18,-26,28,51,97,0.0,1042,-15,9,63,14
2010-01-17,-18,-23,0.0,8.3,1,1,10,09:06 AM,07:15 PM,08:21 AM,04:46 PM,-20,-27,-20,-27,22,11,96,0.0,1049,-18,3,90,11
2010-01-18,-17,-20,0.0,8.3,1,1,17,09:21 AM,08:23 PM,08:20 AM,04:47 PM,-20,-28,-19,-28,32,2,94,0.0,1047,-17,10,91,16
2010-01-19,-16,-20,0.0,5.0,1,1,24,09:34 AM,09:32 PM,08:19 AM,04:49 PM,-19,-28,-19,-28,33,49,96,0.0,1041,-16,10,64,18
2010-01-20,-17,-21,0.0,5.0,1,1,31,09:47 AM,10:40 PM,08:18 AM,04:51 PM,-19,-29,-19,-29,35,72,97,0.0,1039,-17,10,63,20
2010-01-21,-17,-21,0.0,8.4,1,1,39,10:00 AM,11:51 PM,08:17 AM,04:52 PM,-20,-29,-19,-29,35,35,95,0.0,1039,-17,10,54,20
2010-01-22,-19,-23,0.0,6.8,1,1,46,10:15 AM,No moonset,08:16 AM,04:54 PM,-22,-31,-21,-31,28,53,96,0.0,1040,-19,10,31,16
2010-01-23,-24,-28,0.0,3.2,1,1,53,10:34 AM,01:04 AM,08:15 AM,04:56 PM,-26,-35,-26,-35,24,82,98,0.0,1037,-24,8,27,13
2010-01-24,-23,-29,0.0,6.9,1,1,60,10:58 AM,02:20 AM,08:14 AM,04:58 PM,-26,-35,-26,-35,21,53,97,0.0,1035,-23,1,56,10
2010-01-25,-21,-26,0.0,8.5,1,1,68,11:31 AM,03:38 AM,08:12 AM,04:59 PM,-24,-32,-24,-32,23,27,96,0.0,1034,-21,5,180,11
2010-01-26,-19,-26,0.0,5.1,1,1,75,12:16 PM,04:52 AM,08:11 AM,05:01 PM,-23,-31,-23,-31,21,56,98,0.0,1036,-19,4,323,11
2010-01-27,-19,-29,0.0,8.7,1,1,82,01:20 PM,05:57 AM,08:10 AM,05:03 PM,-25,-28,-25,-28,9,31,99,0.0,1035,-19,0,263,5
2010-01-28,-17,-27,0.0,6.9,1,1,90,02:39 PM,06:50 AM,08:08 AM,05:05 PM,-21,-27,-21,-27,15,53,98,0.0,1019,-17,2,164,8
2010-01-29,-11,-21,0.5,3.4,1,1,97,04:08 PM,07:29 AM,08:07 AM,05:07 PM,-15,-22,-14,-22,27,92,97,0.6,1009,-11,7,125,18
2010-01-30,-8,-11,0.0,8.7,1,1,100,05:41 PM,07:57 AM,08:06 AM,05:08 PM,-10,-14,-9,-14,16,55,93,0.0,1009,-8,7,200,10
2010-01-31,-0,-11,1.3,3.4,1,1,100,07:12 PM,08:20 AM,08:04 AM,05:10 PM,-6,-13,-6,-13,37,89,97,2.2,1017,-0,7,130,22
2010-02-01,-2,-4,0.7,3.4,1,1,77,08:41 PM,08:38 AM,08:03 AM,05:12 PM,-4,-10,-3,-10,44,100,96,1.1,1013,-2,7,136,28
2010-02-02,1,-4,0.0,3.4,1,1,69,10:07 PM,08:56 AM,08:01 AM,05:14 PM,-2,-8,-2,-8,38,100,98,1.3,1013,1,8,148,24
2010-02-03,-2,-6,0.8,3.6,1,1,62,11:31 PM,09:13 AM,07:59 AM,05:16 PM,-4,-10,-4,-10,31,98,97,1.0,1021,-2,7,107,20
2010-02-04,-8,-14,0.0,3.6,1,1,54,No moonrise,09:32 AM,07:58 AM,05:18 PM,-12,-21,-11,-21,47,79,95,0.0,1032,-8,9,102,29
2010-02-05,-14,-17,0.0,8.7,1,1,47,12:52 AM,09:54 AM,07:56 AM,05:19 PM,-17,-24,-16,-24,31,17,94,0.0,1044,-14,10,89,16
2010-02-06,-12,-18,0.0,8.7,1,1,39,02:10 AM,10:21 AM,07:55 AM,05:21 PM,-16,-22,-15,-22,26,14,95,0.0,1041,-12,8,66,13
2010-02-07,-12,-18,0.0,5.3,1,1,32,03:23 AM,10:56 AM,07:53 AM,05:23 PM,-15,-23,-15,-23,27,65,97,0.0,1036,-12,8,106,15
2010-02-08,-10,-17,0.3,3.7,1,1,24,04:26 AM,11:40 AM,07:51 AM,05:25 PM,-13,-22,-13,-22,37,94,96,0.4,1027,-10,8,120,23
2010-02-09,-8,-11,0.0,3.7,1,1,16,05:19 AM,12:35 PM,07:49 AM,05:27 PM,-9,-18,-9,-18,46,100,96,0.1,1024,-8,8,121,30
2010-02-10,-9,-11,0.0,3.7,1,1,9,05:59 AM,01:38 PM,07:48 AM,05:29 PM,-11,-20,-10,-20,44,100,96,0.8,1030,-9,5,129,29
2010-02-11,-12,-15,0.0,7.0,1,1,1,06:30 AM,02:45 PM,07:46 AM,05:31 PM,-14,-24,-14,-24,44,60,96,0.0,1038,-12,9,125,27
2010-02-12,-11,-17,0.0,8.7,1,1,0,06:54 AM,03:55 PM,07:44 AM,05:32 PM,-15,-25,-14,-25,51,6,93,0.0,1038,-11,10,123,29
2010-02-13,-9,-16,0.0,3.7,1,1,0,07:13 AM,05:04 PM,07:42 AM,05:34 PM,-12,-22,-12,-22,50,87,95,0.9,1031,-9,6,136,31
2010-02-14,-1,-9,0.7,3.7,1,1,0,07:29 AM,06:13 PM,07:40 AM,05:36 PM,-7,-14,-6,-14,43,100,94,2.6,1017,-1,7,138,28
2010-02-15,0,-7,0.1,5.4,1,1,6,07:43 AM,07:22 PM,07:38 AM,05:38 PM,-2,-7,-2,-7,26,80,97,0.1,1008,0,7,155,16
2010-02-16,-2,-6,0.0,3.8,1,1,13,07:56 AM,08:30 PM,07:36 AM,05:40 PM,-3,-9,-3,-9,34,100,97,0.7,1003,-2,9,151,23
2010-02-17,-5,-12,0.0,3.8,1,1,21,08:09 AM,09:40 PM,07:34 AM,05:42 PM,-8,-11,-7,-11,12,89,97,0.0,1015,-5,3,225,8
2010-02-18,-5,-18,0.1,3.8,1,1,29,08:23 AM,10:52 PM,07:33 AM,05:43 PM,-9,-13,-8,-13,19,87,97,0.2,1018,-5,5,173,11
2010-02-19,-3,-8,0.0,8.7,1,1,36,08:40 AM,No moonset,07:31 AM,05:45 PM,-6,-12,-6,-12,30,44,96,0.0,1014,-3,10,200,17
2010-02-20,1,-5,0.0,3.8,1,1,44,09:02 AM,12:06 AM,07:28 AM,05:47 PM,-2,-7,-2,-7,28,93,98,3.6,1006,1,9,166,18
2010-02-21,1,0,0.0,3.8,1,1,51,09:31 AM,01:21 AM,07:26 AM,05:49 PM,1,-3,1,-3,24,100,100,0.8,995,1,4,117,13
2010-02-22,1,-7,0.0,3.9,1,1,59,10:09 AM,02:34 AM,07:24 AM,05:51 PM,-2,-8,-2,-8,30,100,98,0.0,998,1,9,216,20
2010-02-23,-2,-13,0.0,8.7,1,1,66,11:02 AM,03:42 AM,07:22 AM,05:52 PM,-6,-10,-6,-10,18,50,97,0.0,1015,-2,4,256,10
2010-02-24,0,-4,0.0,7.1,1,1,74,12:11 PM,04:38 AM,07:20 AM,05:54 PM,-2,-6,-2,-6,18,71,98,0.1,1015,0,2,213,10
2010-02-25,0,-6,0.1,5.5,1,1,81,01:34 PM,05:22 AM,07:18 AM,05:56 PM,-2,-5,-2,-5,15,79,98,0.2,1017,0,3,203,8
2010-02-26,-1,-9,0.0,8.7,1,1,89,03:03 PM,05:54 AM,07:16 AM,05:58 PM,-6,-10,-5,-10,20,51,97,0.0,1020,-1,1,165,10
2010-02-27,-4,-10,0.0,7.1,1,1,97,04:34 PM,06:20 AM,07:14 AM,05:59 PM,-7,-12,-7,-12,24,55,97,0.0,1020,-4,7,144,13
2010-02-28,-4,-9,0.2,5.4,1,1,100,06:04 PM,06:40 AM,07:12 AM,06:01 PM,-6,-11,-6,-11,20,91,98,0.2,1021,-4,5,137,13
2010-03-01,0,-7,0.2,5.5,1,1,100,07:33 PM,06:59 AM,07:09 AM,06:03 PM,-3,-9,-2,-9,35,92,98,0.9,1018,0,9,165,21
2010-03-02,0,-0,0.0,5.5,1,1,85,09:00 PM,07:17 AM,07:07 AM,06:05 PM,0,-5,0,-5,29,100,99,1.8,1012,0,9,196,18
2010-03-03,0,-9,0.0,8.6,1,1,78,10:25 PM,07:35 AM,07:05 AM,06:06 PM,-3,-6,-2,-6,16,82,98,0.0,1015,0,2,267,9
2010-03-04,0,-5,0.0,10.1,1,1,71,11:48 PM,07:56 AM,07:03 AM,06:08 PM,-3,-5,-2,-5,14,63,94,0.0,1016,0,7,266,9
2010-03-05,-1,-14,0.1,11.1,1,1,63,No moonrise,08:22 AM,07:01 AM,06:10 PM,-6,-8,-5,-8,11,48,96,0.1,1015,-1,4,204,7
2010-03-06,-2,-6,0.3,5.8,1,1,56,01:06 AM,08:55 AM,06:58 AM,06:12 PM,-4,-9,-4,-9,25,96,97,0.4,1015,-2,7,87,16
