date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-3,-10,6.0,5.0,1,1,100,04:59 PM,08:30 AM,07:59 AM,04:05 PM,-7,-11,-6,-11,21,68,97,7.0,1001,-3,3,68,13
2010-01-02,-4,-7,9.6,3.2,1,1,85,06:28 PM,09:04 AM,07:58 AM,04:06 PM,-6,-12,-5,-12,29,100,98,11.3,999,-4,7,190,20
2010-01-03,-9,-12,0.1,3.2,1,1,77,07:57 PM,09:30 AM,07:58 AM,04:07 PM,-10,-15,-10,-15,16,100,98,0.1,1013,-9,5,297,10
2010-01-04,-12,-18,0.0,5.0,1,1,70,09:22 PM,09:51 AM,07:58 AM,04:08 PM,-14,-17,-14,-17,10,86,99,0.0,1021,-12,1,190,5
2010-01-05,-8,-16,0.0,3.2,1,1,63,10:44 PM,10:09 AM,07:58 AM,04:09 PM,-11,-16,-11,-16,16,93,99,0.0,1023,-8,1,171,9
2010-01-06,-2,-8,2.9,3.2,1,1,56,No moonrise,10:27 AM,07:58 AM,04:10 PM,-4,-10,-4,-10,34,100,98,5.4,1015,-2,5,127,21
2010-01-07,1,-1,0.0,3.2,1,1,48,12:04 AM,10:45 AM,07:57 AM,04:11 PM,0,-2,1,-2,12,100,100,1.3,1011,1,1,232,7
2010-01-08,-0,-13,0.0,8.6,1,1,41,01:23 AM,11:06 AM,07:57 AM,04:13 PM,-4,-6,-4,-6,10,73,99,0.0,1024,-0,0,196,6
2010-01-09,1,-0,0.0,3.2,1,1,34,02:39 AM,11:30 AM,07:56 AM,04:14 PM,1,-3,1,-3,21,100,100,5.3,1021,1,6,95,12
2010-01-10,1,0,0.0,3.2,1,1,27,03:53 AM,12:00 PM,07:56 AM,04:15 PM,1,-4,1,-4,30,100,100,2.6,1015,1,6,89,18
2010-01-11,1,-0,0.1,3.2,1,1,19,05:01 AM,12:39 PM,07:55 AM,04:17 PM,0,-4,0,-4,27,100,99,2.8,1013,1,9,75,17
2010-01-12,-1,-5,1.1,3.2,1,1,12,06:00 AM,01:27 PM,07:55 AM,04:18 PM,-3,-8,-3,-8,18,100,98,1.3,1016,-1,2,35,12
2010-01-13,-5,-6,0.0,3.2,1,1,5,06:48 AM,02:24 PM,07:54 AM,04:19 PM,-6,-10,-5,-10,15,100,98,0.0,1016,-5,0,8,11
2010-01-14,-4,-6,0.6,3.3,1,1,0,07:27 AM,03:29 PM,07:53 AM,04:21 PM,-5,-9,-5,-9,18,100,98,0.7,1020,-4,4,25,12
2010-01-15,-5,-8,0.9,3.3,1,1,0,07:56 AM,04:36 PM,07:53 AM,04:22 PM,-7,-12,-6,-12,22,100,98,1.1,1026,-5,6,18,15
2010-01-16,-8,-12,0.0,3.3,1,1,2,08:19 AM,05:45 PM,07:52 AM,04:24 PM,-10,-15,-9,-15,17,99,98,0.0,1037,-8,4,26,12
2010-01-17,-7,-11,0.5,3.3,1,1,10,08:37 AM,06:53 PM,07:51 AM,04:25 PM,-9,-14,-8,-14,19,99,97,0.6,1039,-7,6,96,13
2010-01-18,-9,-13,0.4,3.3,1,1,17,08:53 AM,08:01 PM,07:50 AM,04:27 PM,-11,-17,-10,-17,21,100,97,0.5,1035,-9,6,84,14
2010-01-19,-9,-11,1.1,3.3,1,1,24,09:08 AM,09:08 PM,07:49 AM,04:28 PM,-10,-17,-10,-17,26,100,97,1.3,1030,-9,8,75,17
2010-01-20,-10,-14,0.1,6.9,1,1,31,09:22 AM,10:15 PM,07:48 AM,04:30 PM,-12,-20,-12,-20,29,67,97,0.1,1029,-10,10,63,18
2010-01-21,-10,-12,0.8,3.3,1,1,39,09:37 AM,11:25 PM,07:47 AM,04:32 PM,-12,-19,-11,-19,25,95,97,1.0,1030,-10,7,51,17
2010-01-22,-14,-17,0.0,6.9,1,1,46,09:53 AM,No moonset,07:46 AM,04:33 PM,-16,-24,-16,-24,24,62,98,0.0,1036,-14,10,46,15
2010-01-23,-16,-21,0.0,5.1,1,1,53,10:13 AM,12:36 AM,07:45 AM,04:35 PM,-19,-26,-18,-26,19,80,98,0.0,1037,-16,4,18,12
2010-01-24,-17,-22,0.0,5.1,1,1,60,10:38 AM,01:51 AM,07:44 AM,04:37 PM,-20,-27,-20,-27,18,80,98,0.0,1037,-17,3,178,12
2010-01-25,-13,-20,0.0,3.4,1,1,68,11:13 AM,03:07 AM,07:43 AM,04:38 PM,-16,-22,-16,-22,16,85,98,0.0,1038,-13,3,311,10
2010-01-26,-12,-16,0.4,3.4,1,1,75,12:00 PM,04:20 AM,07:42 AM,04:40 PM,-14,-18,-13,-18,10,100,98,0.5,1037,-12,3,257,7
2010-01-27,-12,-17,0.0,6.9,1,1,82,01:04 PM,05:26 AM,07:40 AM,04:42 PM,-15,-20,-15,-20,13,66,97,0.0,1031,-12,2,193,8
2010-01-28,-7,-19,0.3,3.4,1,1,90,02:22 PM,06:18 AM,07:39 AM,04:43 PM,-11,-17,-11,-17,21,90,98,0.3,1009,-7,5,173,14
2010-01-29,-7,-12,0.0,6.9,1,1,97,03:51 PM,06:58 AM,07:38 AM,04:45 PM,-10,-15,-9,-15,19,55,97,0.0,1000,-7,4,196,11
2010-01-30,-5,-13,0.1,8.7,1,1,100,05:21 PM,07:29 AM,07:36 AM,04:47 PM,-8,-13,-8,-13,24,47,97,0.1,1005,-5,6,174,14
2010-01-31,0,-5,0.2,3.4,1,1,100,06:51 PM,07:53 AM,07:35 AM,04:49 PM,-2,-6,-2,-6,19,100,99,1.3,1004,0,3,114,13
2010-02-01,1,-5,1.9,3.4,1,1,77,08:17 PM,08:13 AM,07:33 AM,04:50 PM,-1,-6,-1,-6,23,99,98,5.0,1003,1,5,217,14
2010-02-02,-3,-6,1.1,3.5,1,1,69,09:42 PM,08:31 AM,07:32 AM,04:52 PM,-5,-9,-4,-9,19,97,98,1.3,1012,-3,4,289,12
2010-02-03,-3,-7,0.0,3.5,1,1,62,11:04 PM,08:50 AM,07:30 AM,04:54 PM,-5,-8,-5,-8,12,88,98,0.0,1018,-3,0,173,8
2010-02-04,-3,-6,2.3,3.5,1,1,54,No moonrise,09:10 AM,07:29 AM,04:56 PM,-4,-8,-4,-8,13,100,99,2.7,1021,-3,2,263,9
