date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-5,-7,0.2,1.8,1,1,100,05:54 PM,10:01 AM,09:28 AM,04:59 PM,-7,-10,-6,-10,13,94,96,0.2,1003,-5,3,121,9
2010-01-02,-5,-7,0.2,1.9,1,1,85,07:28 PM,10:30 AM,09:28 AM,05:00 PM,-7,-11,-6,-11,16,98,96,0.3,1007,-5,5,45,11
2010-01-03,-9,-15,0.0,1.9,1,1,77,09:02 PM,10:51 AM,09:28 AM,05:01 PM,-13,-17,-12,-17,12,92,94,0.0,1015,-9,6,292,9
2010-01-04,-12,-16,0.0,3.9,1,1,70,10:31 PM,11:08 AM,09:28 AM,05:02 PM,-14,-20,-14,-20,19,67,96,0.0,1018,-12,5,231,12
2010-01-05,-8,-12,0.2,1.9,1,1,63,11:58 PM,11:22 AM,09:27 AM,05:04 PM,-10,-17,-10,-17,23,100,95,0.2,1018,-8,10,187,16
2010-01-06,-4,-9,1.1,1.9,1,1,56,No moonrise,11:36 AM,09:27 AM,05:05 PM,-8,-15,-8,-15,26,100,95,1.3,1015,-4,9,122,18
2010-01-07,-2,-6,0.0,2.0,1,1,48,01:23 AM,11:50 AM,09:26 AM,05:06 PM,-5,-9,-4,-9,20,98,96,0.0,1009,-2,7,192,14
2010-01-08,-6,-10,0.0,2.0,1,1,41,02:45 AM,12:06 PM,09:26 AM,05:08 PM,-7,-11,-7,-11,14,86,97,0.0,1024,-6,1,200,9
2010-01-09,-6,-8,1.2,2.0,1,1,34,04:06 AM,12:26 PM,09:25 AM,05:09 PM,-7,-14,-7,-14,31,97,97,1.4,1028,-6,6,65,20
2010-01-10,-5,-8,2.8,2.0,1,1,27,05:25 AM,12:52 PM,09:24 AM,05:11 PM,-7,-15,-7,-15,41,100,97,4.1,1023,-5,6,72,27
2010-01-11,-6,-7,0.5,2.0,1,1,19,06:35 AM,01:28 PM,09:24 AM,05:12 PM,-6,-13,-6,-13,27,100,98,0.6,1021,-6,8,71,18
2010-01-12,-5,-11,0.2,3.9,1,1,12,07:36 AM,02:15 PM,09:23 AM,05:14 PM,-7,-12,-7,-12,18,63,97,0.2,1023,-5,4,63,11
2010-01-13,-8,-13,0.0,5.8,1,1,5,08:23 AM,03:14 PM,09:22 AM,05:16 PM,-11,-15,-10,-15,16,14,94,0.0,1023,-8,6,45,9
2010-01-14,-9,-14,0.0,5.8,1,1,0,08:59 AM,04:21 PM,09:21 AM,05:17 PM,-12,-17,-11,-17,17,45,98,0.0,1026,-9,1,73,9
2010-01-15,-9,-14,0.0,2.0,1,1,0,09:25 AM,05:33 PM,09:20 AM,05:19 PM,-10,-15,-10,-15,13,69,98,0.0,1032,-9,2,52,8
2010-01-16,-5,-10,0.2,2.0,1,1,2,09:44 AM,06:46 PM,09:19 AM,05:21 PM,-8,-12,-8,-12,13,95,98,0.2,1040,-5,4,76,9
