date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-15,-23,0.0,5.8,1,1,100,04:59 PM,09:47 AM,09:14 AM,04:06 PM,-20,-22,-20,-22,8,42,98,0.0,1006,-15,1,53,4
2010-01-02,-14,-19,0.0,1.7,1,1,85,06:39 PM,10:10 AM,09:13 AM,04:08 PM,-16,-21,-16,-21,15,82,99,0.0,1009,-14,1,142,9
2010-01-03,-18,-21,0.0,1.7,1,1,77,08:18 PM,10:26 AM,09:13 AM,04:09 PM,-20,-27,-20,-27,18,100,99,0.0,1011,-18,4,334,11
2010-01-04,-10,-20,0.3,1.7,1,1,70,09:54 PM,10:39 AM,09:13 AM,04:10 PM,-16,-22,-16,-22,19,100,98,0.3,1013,-10,5,231,11
2010-01-05,-9,-16,0.1,1.8,1,1,63,11:25 PM,10:49 AM,09:12 AM,04:12 PM,-13,-20,-13,-20,24,93,98,0.1,1019,-9,8,202,15
2010-01-06,-12,-16,0.1,1.8,1,1,56,No moonrise,10:58 AM,09:11 AM,04:13 PM,-14,-21,-14,-21,19,99,99,0.1,1026,-12,4,168,12
2010-01-07,-7,-14,0.0,1.8,1,1,48,12:54 AM,11:08 AM,09:11 AM,04:15 PM,-11,-19,-10,-19,36,100,97,0.4,1020,-7,9,140,23
2010-01-08,-5,-8,1.0,1.8,1,1,41,02:21 AM,11:20 AM,09:10 AM,04:16 PM,-7,-12,-7,-12,20,100,98,1.1,1020,-5,6,210,13
2010-01-09,-8,-20,0.0,1.8,1,1,34,03:47 AM,11:36 AM,09:09 AM,04:18 PM,-13,-18,-13,-18,16,68,98,0.0,1033,-8,2,317,9
2010-01-10,-15,-21,0.0,5.8,1,1,27,05:10 AM,11:57 AM,09:08 AM,04:20 PM,-19,-21,-18,-21,9,13,97,0.0,1037,-15,2,99,5
2010-01-11,-11,-21,0.0,5.8,1,1,19,06:25 AM,12:29 PM,09:07 AM,04:21 PM,-16,-18,-15,-18,10,5,89,0.0,1031,-11,10,284,5
2010-01-12,-11,-15,0.0,5.8,1,1,12,07:28 AM,01:15 PM,09:06 AM,04:23 PM,-14,-18,-13,-18,18,16,93,0.0,1025,-11,7,275,9
2010-01-13,-7,-13,0.2,1.8,1,1,5,08:14 AM,02:15 PM,09:05 AM,04:25 PM,-10,-14,-9,-14,14,86,98,0.2,1022,-7,3,286,8
2010-01-14,-6,-12,0.2,1.8,1,1,0,08:46 AM,03:26 PM,09:04 AM,04:27 PM,-9,-11,-8,-11,10,91,99,0.3,1026,-6,4,244,6
2010-01-15,-6,-9,0.4,1.8,1,1,0,09:08 AM,04:42 PM,09:03 AM,04:29 PM,-8,-11,-8,-11,10,97,98,0.5,1031,-6,2,161,6
2010-01-16,-11,-18,0.0,5.8,1,1,2,09:23 AM,05:59 PM,09:02 AM,04:31 PM,-15,-18,-15,-18,11,42,99,0.0,1044,-11,0,154,5
2010-01-17,-14,-19,0.0,7.3,1,1,10,09:34 AM,07:15 PM,09:00 AM,04:33 PM,-16,-21,-16,-21,15,8,97,0.0,1047,-14,1,205,7
2010-01-18,-15,-22,0.0,7.8,1,1,17,09:43 AM,08:30 PM,08:59 AM,04:35 PM,-19,-23,-18,-23,13,2,92,0.0,1047,-15,9,191,7
2010-01-19,-15,-25,0.0,7.8,1,1,24,09:51 AM,09:44 PM,08:58 AM,04:37 PM,-20,-24,-19,-24,13,20,90,0.0,1045,-15,8,97,6
2010-01-20,-17,-23,0.0,2.9,1,1,31,09:58 AM,10:59 PM,08:56 AM,04:39 PM,-20,-26,-20,-26,15,71,98,0.0,1045,-17,2,85,8
2010-01-21,-15,-20,0.0,2.9,1,1,39,10:06 AM,No moonset,08:55 AM,04:41 PM,-18,-25,-18,-25,20,88,99,0.0,1048,-15,1,72,11
2010-01-22,-16,-22,0.0,3.0,1,1,46,10:15 AM,12:16 AM,08:53 AM,04:43 PM,-19,-26,-19,-26,18,78,99,0.0,1048,-16,0,32,10
2010-01-23,-18,-23,0.0,3.0,1,1,53,10:26 AM,01:37 AM,08:52 AM,04:45 PM,-20,-27,-20,-27,19,91,99,0.0,1043,-18,0,23,10
2010-01-24,-14,-23,0.3,3.0,1,1,60,10:43 AM,03:00 AM,08:50 AM,04:47 PM,-18,-25,-18,-25,19,83,97,0.4,1037,-14,5,293,11
2010-01-25,-15,-24,0.5,3.0,1,1,68,11:09 AM,04:25 AM,08:48 AM,04:50 PM,-18,-25,-18,-25,16,100,98,0.6,1035,-15,3,162,10
