date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-5,-7,3.5,1.9,1,1,100,05:49 PM,10:09 AM,09:39 AM,05:01 PM,-6,-13,-6,-13,36,96,96,4.2,1018,-5,7,177,23
2010-01-02,-8,-11,3.7,1.9,1,1,85,07:25 PM,10:38 AM,09:39 AM,05:03 PM,-10,-18,-10,-18,35,100,96,4.4,1016,-8,5,167,23
2010-01-03,-6,-10,1.1,1.9,1,1,77,08:59 PM,10:59 AM,09:39 AM,05:04 PM,-9,-16,-8,-16,32,100,96,1.3,1010,-6,7,160,20
2010-01-04,-6,-9,2.7,1.9,1,1,70,10:31 PM,11:14 AM,09:38 AM,05:05 PM,-7,-13,-7,-13,25,100,97,3.2,1005,-6,6,182,17
2010-01-05,-14,-26,0.0,1.9,1,1,63,11:59 PM,11:28 AM,09:38 AM,05:06 PM,-22,-30,-22,-30,23,97,99,0.0,1021,-14,4,310,14
2010-01-06,-24,-28,0.0,1.9,1,1,56,No moonrise,11:41 AM,09:37 AM,05:08 PM,-27,-36,-27,-36,22,70,98,0.0,1033,-24,0,334,11
2010-01-07,-25,-32,0.0,5.8,1,1,48,01:24 AM,11:54 AM,09:37 AM,05:09 PM,-29,-36,-29,-36,15,15,97,0.0,1041,-25,2,170,8
2010-01-08,-22,-34,0.0,5.8,1,1,41,02:48 AM,12:08 PM,09:36 AM,05:11 PM,-27,-32,-26,-32,17,10,95,0.0,1045,-22,6,115,9
2010-01-09,-11,-20,1.4,1.9,1,1,34,04:10 AM,12:27 PM,09:36 AM,05:12 PM,-16,-25,-15,-25,38,91,96,2.1,1037,-11,7,191,24
2010-01-10,-9,-18,1.0,1.9,1,1,27,05:30 AM,12:52 PM,09:35 AM,05:14 PM,-12,-20,-12,-20,25,100,98,1.2,1027,-9,5,251,16
2010-01-11,-15,-31,0.3,2.0,1,1,19,06:42 AM,01:27 PM,09:34 AM,05:15 PM,-20,-27,-20,-27,17,96,99,0.4,1025,-15,3,297,10
2010-01-12,-11,-33,0.6,2.0,1,1,12,07:44 AM,02:12 PM,09:33 AM,05:17 PM,-20,-28,-20,-28,23,80,98,0.7,1022,-11,6,210,14
2010-01-13,-8,-11,1.4,2.0,1,1,5,08:32 AM,03:11 PM,09:32 AM,05:19 PM,-10,-16,-10,-16,22,100,97,1.7,1012,-8,6,233,14
2010-01-14,-11,-13,0.3,2.0,1,1,0,09:08 AM,04:18 PM,09:32 AM,05:20 PM,-12,-18,-12,-18,21,100,97,0.3,1013,-11,6,291,13
2010-01-15,-16,-21,0.0,2.0,1,1,0,09:33 AM,05:31 PM,09:31 AM,05:22 PM,-18,-25,-18,-25,20,92,98,0.0,1028,-16,1,276,11
2010-01-16,-17,-27,0.1,2.0,1,1,2,09:52 AM,06:44 PM,09:29 AM,05:24 PM,-21,-27,-20,-27,17,83,99,0.2,1038,-17,3,311,9
2010-01-17,-17,-29,0.0,5.8,1,1,10,10:06 AM,07:57 PM,09:28 AM,05:26 PM,-23,-30,-22,-30,20,52,98,0.0,1046,-17,2,272,10
2010-01-18,-16,-20,0.4,2.0,1,1,17,10:18 AM,09:09 PM,09:27 AM,05:28 PM,-18,-24,-18,-24,17,88,97,0.5,1045,-16,5,238,10
2010-01-19,-18,-22,0.2,2.0,1,1,24,10:28 AM,10:20 PM,09:26 AM,05:29 PM,-20,-24,-20,-24,12,100,98,0.2,1047,-18,3,129,6
2010-01-20,-14,-23,0.1,2.0,1,1,31,10:38 AM,11:33 PM,09:25 AM,05:31 PM,-18,-23,-17,-23,16,86,95,0.2,1049,-14,5,98,8
2010-01-21,-21,-30,0.0,5.8,1,1,39,10:49 AM,No moonset,09:23 AM,05:33 PM,-25,-32,-25,-32,18,66,94,0.0,1045,-21,6,75,8
2010-01-22,-19,-32,0.0,5.8,1,1,46,11:01 AM,12:46 AM,09:22 AM,05:35 PM,-24,-32,-24,-32,22,13,97,0.0,1039,-19,4,63,11
2010-01-23,-20,-29,0.0,5.8,1,1,53,11:16 AM,02:03 AM,09:21 AM,05:37 PM,-24,-30,-24,-30,15,21,98,0.0,1038,-20,2,115,7
2010-01-24,-20,-30,0.0,3.9,1,1,60,11:36 AM,03:23 AM,09:19 AM,05:39 PM,-26,-29,-26,-29,7,46,98,0.0,1033,-20,1,236,4
2010-01-25,-17,-27,0.0,5.8,1,1,68,12:04 PM,04:44 AM,09:18 AM,05:41 PM,-22,-27,-21,-27,14,41,94,0.0,1036,-17,6,214,7
2010-01-26,-12,-22,0.0,5.8,1,1,75,12:47 PM,06:02 AM,09:16 AM,05:43 PM,-17,-21,-16,-21,13,25,96,0.0,1040,-12,3,74,6
2010-01-27,-17,-28,0.0,5.8,1,1,82,01:49 PM,07:09 AM,09:15 AM,05:45 PM,-22,-26,-21,-26,13,0,95,0.0,1040,-17,5,105,6
2010-01-28,-16,-26,0.0,5.8,1,1,90,03:10 PM,07:59 AM,09:13 AM,05:47 PM,-22,-28,-21,-28,20,19,89,0.1,1025,-16,10,100,10
2010-01-29,-12,-22,0.0,2.1,1,1,97,04:43 PM,08:35 AM,09:11 AM,05:49 PM,-18,-24,-18,-24,18,88,96,0.0,1019,-12,2,141,10
2010-01-30,-14,-24,0.0,5.8,1,1,100,06:20 PM,09:00 AM,09:10 AM,05:51 PM,-20,-25,-19,-25,17,79,97,0.0,1025,-14,1,164,8
2010-01-31,-6,-11,0.6,2.1,1,1,100,07:57 PM,09:19 AM,09:08 AM,05:53 PM,-9,-13,-8,-13,19,95,97,0.7,1027,-6,5,223,11
2010-02-01,-10,-16,0.0,5.8,1,1,77,09:30 PM,09:34 AM,09:06 AM,05:55 PM,-13,-18,-13,-18,18,56,99,0.0,1033,-10,0,107,9
2010-02-02,-13,-22,0.0,5.8,1,1,69,10:59 PM,09:47 AM,09:04 AM,05:57 PM,-17,-22,-17,-22,16,7,98,0.0,1037,-13,1,69,8
2010-02-03,-14,-23,0.0,5.8,1,1,62,No moonrise,10:00 AM,09:03 AM,05:59 PM,-19,-24,-19,-24,14,7,98,0.0,1041,-14,1,85,7
2010-02-04,-14,-25,0.0,8.7,1,1,54,12:27 AM,10:15 AM,09:01 AM,06:01 PM,-19,-25,-18,-25,18,15,97,0.0,1048,-14,2,76,9
2010-02-05,-14,-21,0.0,8.2,1,1,47,01:53 AM,10:33 AM,08:59 AM,06:03 PM,-18,-24,-17,-24,22,45,97,0.0,1045,-14,5,341,12
2010-02-06,-15,-23,0.0,6.5,1,1,39,03:16 AM,10:56 AM,08:57 AM,06:05 PM,-18,-24,-18,-24,16,71,99,0.0,1041,-15,0,237,8
2010-02-07,-15,-28,0.0,9.5,1,1,32,04:32 AM,11:28 AM,08:55 AM,06:07 PM,-21,-27,-21,-27,15,15,97,0.0,1041,-15,4,275,7
2010-02-08,-14,-28,0.0,9.6,1,1,24,05:38 AM,12:10 PM,08:53 AM,06:09 PM,-22,-26,-22,-26,10,10,95,0.0,1044,-14,4,207,5
2010-02-09,-17,-27,0.0,9.6,1,1,16,06:31 AM,01:04 PM,08:51 AM,06:11 PM,-23,-26,-22,-26,12,9,95,0.0,1049,-17,6,175,6
2010-02-10,-17,-28,0.0,9.6,1,1,9,07:10 AM,02:09 PM,08:49 AM,06:13 PM,-24,-26,-23,-26,9,12,94,0.0,1053,-17,5,148,4
2010-02-11,-14,-28,0.0,9.7,1,1,1,07:38 AM,03:20 PM,08:47 AM,06:15 PM,-22,-25,-21,-25,9,24,98,0.0,1053,-14,3,319,5
2010-02-12,-12,-26,0.0,9.7,1,1,0,07:59 AM,04:32 PM,08:45 AM,06:17 PM,-20,-24,-19,-24,12,19,91,0.0,1053,-12,8,277,6
2010-02-13,-11,-21,0.0,9.8,1,1,0,08:14 AM,05:46 PM,08:43 AM,06:19 PM,-16,-22,-15,-22,21,16,91,0.0,1049,-11,9,228,11
2010-02-14,-13,-18,0.0,9.8,1,1,0,08:27 AM,06:58 PM,08:40 AM,06:21 PM,-16,-22,-15,-22,26,14,93,0.0,1043,-13,9,200,13
2010-02-15,-6,-15,0.0,6.6,1,1,6,08:38 AM,08:10 PM,08:38 AM,06:23 PM,-11,-19,-11,-19,42,52,94,0.2,1029,-6,9,188,25
2010-02-16,-3,-7,3.4,4.9,1,1,13,08:48 AM,09:22 PM,08:36 AM,06:25 PM,-6,-12,-6,-12,31,99,97,4.3,1013,-3,5,176,19
2010-02-17,-3,-8,4.2,5.0,1,1,21,08:59 AM,10:35 PM,08:34 AM,06:27 PM,-6,-11,-5,-11,22,100,97,5.0,997,-3,4,236,15
2010-02-18,-10,-14,0.1,5.0,1,1,29,09:10 AM,11:50 PM,08:32 AM,06:30 PM,-12,-20,-12,-20,27,100,96,0.4,1012,-10,5,286,17
2010-02-19,-12,-17,0.4,5.0,1,1,36,09:24 AM,No moonset,08:30 AM,06:32 PM,-15,-22,-14,-22,28,100,97,0.5,1015,-12,9,212,18
2010-02-20,-7,-24,1.0,5.0,1,1,44,09:41 AM,01:07 AM,08:27 AM,06:34 PM,-13,-20,-13,-20,22,91,97,1.2,1012,-7,6,236,14
2010-02-21,-20,-31,0.0,6.7,1,1,51,10:05 AM,02:26 AM,08:25 AM,06:36 PM,-25,-34,-25,-34,23,45,95,0.0,1020,-20,8,64,13
2010-02-22,-11,-22,0.2,5.1,1,1,59,10:41 AM,03:43 AM,08:23 AM,06:38 PM,-16,-22,-15,-22,20,84,97,0.2,1018,-11,6,97,12
2010-02-23,-7,-12,0.8,8.4,1,1,66,11:32 AM,04:52 AM,08:20 AM,06:40 PM,-10,-16,-10,-16,21,88,96,1.0,1016,-7,4,119,13
2010-02-24,-7,-14,0.5,10.0,1,1,74,12:41 PM,05:49 AM,08:18 AM,06:42 PM,-10,-13,-9,-13,11,73,96,0.6,1014,-7,4,99,7
2010-02-25,-9,-22,0.0,10.3,1,1,81,02:07 PM,06:29 AM,08:16 AM,06:44 PM,-16,-18,-16,-18,7,45,98,0.0,1015,-9,2,144,4
2010-02-26,-9,-19,0.0,5.2,1,1,89,03:40 PM,06:59 AM,08:14 AM,06:46 PM,-14,-17,-14,-17,9,94,98,0.0,1021,-9,1,219,5
2010-02-27,-9,-25,0.0,5.2,1,1,97,05:16 PM,07:21 AM,08:11 AM,06:48 PM,-15,-20,-15,-20,16,69,99,0.0,1025,-9,3,196,9
2010-02-28,-5,-9,0.2,5.2,1,1,100,06:50 PM,07:37 AM,08:09 AM,06:50 PM,-7,-11,-7,-11,16,100,98,0.3,1025,-5,4,236,10
2010-03-01,-6,-13,0.0,10.0,1,1,100,08:23 PM,07:52 AM,08:06 AM,06:52 PM,-10,-13,-9,-13,14,73,98,0.0,1029,-6,1,205,8
2010-03-02,-6,-14,0.0,6.8,1,1,85,09:54 PM,08:06 AM,08:04 AM,06:54 PM,-10,-16,-10,-16,24,65,96,0.0,1030,-6,9,177,14
2010-03-03,-5,-11,0.0,8.4,1,1,78,11:24 PM,08:20 AM,08:02 AM,06:56 PM,-8,-14,-8,-14,26,64,96,0.0,1024,-5,9,180,15
2010-03-04,-4,-8,0.0,11.0,1,1,71,No moonrise,08:37 AM,07:59 AM,06:58 PM,-7,-12,-6,-12,24,30,94,0.0,1023,-4,9,176,13
2010-03-05,-3,-8,0.0,5.7,1,1,63,12:51 AM,08:59 AM,07:57 AM,07:00 PM,-6,-12,-5,-12,38,72,95,1.6,1016,-3,9,190,22
2010-03-06,-4,-10,0.0,10.1,1,1,56,02:13 AM,09:29 AM,07:55 AM,07:02 PM,-7,-10,-6,-10,12,59,97,0.0,1021,-4,2,163,7
2010-03-07,-3,-14,0.0,8.7,1,1,49,03:26 AM,10:07 AM,07:52 AM,07:04 PM,-8,-10,-7,-10,10,61,97,0.1,1020,-3,3,83,5
2010-03-08,-2,-5,3.3,5.8,1,1,42,04:24 AM,10:58 AM,07:50 AM,07:06 PM,-4,-8,-3,-8,21,96,97,3.9,1009,-2,5,134,13
2010-03-09,-3,-8,0.5,5.8,1,1,34,05:09 AM,12:00 PM,07:47 AM,07:08 PM,-5,-11,-5,-11,26,100,98,0.6,1005,-3,7,254,17
2010-03-10,-5,-11,0.2,5.8,1,1,27,05:41 AM,01:09 PM,07:45 AM,07:10 PM,-8,-14,-8,-14,20,100,97,0.3,1016,-5,5,260,13
2010-03-11,-6,-8,0.7,5.8,1,1,20,06:04 AM,02:21 PM,07:43 AM,07:12 PM,-7,-12,-7,-12,16,100,98,0.8,1011,-6,2,218,10
2010-03-12,-2,-10,0.3,5.9,1,1,12,06:21 AM,03:34 PM,07:40 AM,07:14 PM,-6,-13,-6,-13,33,92,97,0.8,1017,-2,6,226,21
2010-03-13,-0,-6,1.0,5.9,1,1,5,06:35 AM,04:46 PM,07:38 AM,07:16 PM,-3,-9,-3,-9,37,98,97,1.2,1010,-0,7,182,24
2010-03-14,-0,-3,0.4,5.9,1,1,0,06:47 AM,05:58 PM,07:35 AM,07:18 PM,-2,-6,-2,-6,22,99,97,0.5,1002,-0,5,211,14
2010-03-15,-0,-4,1.4,5.9,1,1,0,06:58 AM,07:10 PM,07:33 AM,07:20 PM,-3,-7,-2,-7,26,99,94,1.7,1003,-0,7,222,17
2010-03-16,-2,-5,0.0,7.4,1,1,2,07:08 AM,08:23 PM,07:30 AM,07:22 PM,-5,-9,-4,-9,24,70,90,0.0,1009,-2,10,195,16
2010-03-17,-5,-11,1.6,6.0,1,1,9,07:20 AM,09:39 PM,07:28 AM,07:24 PM,-7,-13,-7,-13,25,90,96,1.9,1007,-5,7,248,16
2010-03-18,-7,-21,0.0,6.0,1,1,16,07:33 AM,10:55 PM,07:25 AM,07:26 PM,-12,-16,-12,-16,17,78,98,0.1,1019,-7,6,223,10
2010-03-19,-7,-18,0.0,7.4,1,1,24,07:50 AM,No moonset,07:23 AM,07:28 PM,-13,-19,-12,-19,24,81,98,0.0,1024,-7,8,216,14
2010-03-20,-8,-13,0.0,6.1,1,1,31,08:12 AM,12:13 AM,07:20 AM,07:30 PM,-11,-18,-11,-18,26,100,97,0.0,1020,-8,8,166,16
2010-03-21,-0,-23,0.4,6.1,1,1,38,08:43 AM,01:31 AM,07:17 AM,07:32 PM,-11,-15,-10,-15,18,87,98,0.4,1018,-0,4,144,11
2010-03-22,0,0,1.7,6.1,1,1,46,09:28 AM,02:42 AM,07:15 AM,07:34 PM,0,-4,0,-4,29,100,100,2.0,1008,0,8,194,17
2010-03-23,1,-3,0.0,6.1,1,1,53,10:29 AM,03:41 AM,07:12 AM,07:35 PM,-0,-5,0,-5,34,100,99,4.6,1002,1,9,237,20
2010-03-24,-1,-5,0.1,6.1,1,1,60,11:46 AM,04:26 AM,07:10 AM,07:37 PM,-3,-9,-3,-9,35,97,96,0.1,1013,-1,10,239,21
2010-03-25,0,-5,2.6,6.2,1,1,67,01:13 PM,04:58 AM,07:07 AM,07:39 PM,-2,-7,-2,-7,25,100,98,3.1,1010,0,5,263,16
2010-03-26,-4,-9,0.6,6.2,1,1,75,02:44 PM,05:22 AM,07:05 AM,07:41 PM,-7,-13,-7,-13,30,90,96,0.7,1020,-4,8,313,19
