date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,2,1,0.0,3.2,1,1,100,06:06 PM,09:25 AM,08:55 AM,05:16 PM,1,-4,1,-4,47,97,98,1.2,1006,2,8,183,27
2010-01-02,4,1,0.0,3.2,1,1,85,07:34 PM,10:01 AM,08:55 AM,05:17 PM,2,-2,2,-2,34,100,99,2.9,1001,4,5,158,19
2010-01-03,6,-3,0.5,3.2,1,1,77,09:00 PM,10:29 AM,08:55 AM,05:18 PM,3,-1,3,-1,37,100,96,5.1,996,6,7,220,22
2010-01-04,-4,-9,0.0,8.6,1,1,70,10:23 PM,10:52 AM,08:55 AM,05:19 PM,-11,-15,-7,-15,30,30,76,0.0,1012,-4,10,336,22
2010-01-05,-8,-11,0.0,8.7,1,1,63,11:44 PM,11:12 AM,08:54 AM,05:20 PM,-14,-14,-10,-14,13,30,71,0.0,1027,-8,10,302,9
2010-01-06,-7,-11,0.0,8.7,1,1,56,No moonrise,11:32 AM,08:54 AM,05:21 PM,-14,-13,-9,-13,13,15,65,0.0,1034,-7,10,100,9
2010-01-07,-7,-11,0.0,6.9,1,1,48,01:02 AM,11:51 AM,08:54 AM,05:22 PM,-18,-17,-9,-17,34,62,49,0.0,1034,-7,10,111,24
2010-01-08,-1,-7,0.0,3.3,1,1,41,02:18 AM,12:13 PM,08:54 AM,05:24 PM,-10,-12,-5,-12,38,88,70,1.2,1032,-1,10,143,25
2010-01-09,1,-1,0.0,3.3,1,1,34,03:34 AM,12:39 PM,08:53 AM,05:25 PM,0,-4,1,-4,27,97,97,0.5,1033,1,8,159,16
2010-01-10,2,-0,0.0,3.3,1,1,27,04:46 AM,01:11 PM,08:53 AM,05:26 PM,0,-3,1,-3,21,92,96,0.3,1027,2,5,105,13
2010-01-11,-1,-5,0.0,5.1,1,1,19,05:53 AM,01:50 PM,08:52 AM,05:27 PM,-7,-10,-3,-10,35,72,75,0.0,1024,-1,10,68,25
2010-01-12,-3,-6,0.0,3.3,1,1,12,06:52 AM,02:38 PM,08:52 AM,05:29 PM,-14,-11,-4,-11,27,81,49,0.0,1024,-3,10,99,18
2010-01-13,-1,-5,0.5,3.3,1,1,5,07:42 AM,03:35 PM,08:51 AM,05:30 PM,-6,-7,-3,-7,16,96,82,0.6,1019,-1,9,150,11
2010-01-14,-1,-5,0.4,5.1,1,1,0,08:21 AM,04:38 PM,08:50 AM,05:31 PM,-5,-5,-2,-5,12,62,84,0.4,1021,-1,9,111,8
2010-01-15,-6,-8,0.2,5.1,1,1,0,08:52 AM,05:44 PM,08:50 AM,05:33 PM,-11,-13,-7,-13,23,61,70,0.2,1027,-6,9,78,17
2010-01-16,-8,-13,0.0,8.7,1,1,2,09:17 AM,06:51 PM,08:49 AM,05:34 PM,-15,-17,-10,-17,29,32,67,0.1,1036,-8,10,56,21
2010-01-17,-11,-16,0.0,8.7,1,1,10,09:37 AM,07:58 PM,08:48 AM,05:36 PM,-18,-22,-13,-22,31,0,70,0.0,1047,-11,10,67,21
2010-01-18,-11,-15,0.0,8.7,1,1,17,09:54 AM,09:04 PM,08:47 AM,05:37 PM,-18,-22,-13,-22,32,7,67,0.0,1046,-11,10,75,21
2010-01-19,-11,-15,0.0,8.7,1,1,24,10:10 AM,10:09 PM,08:47 AM,05:39 PM,-17,-23,-13,-23,40,3,71,0.0,1037,-11,10,65,26
2010-01-20,-10,-16,0.0,8.7,1,1,31,10:25 AM,11:15 PM,08:46 AM,05:40 PM,-15,-23,-13,-23,40,25,81,0.0,1034,-10,10,68,27
2010-01-21,-12,-15,0.0,8.7,1,1,39,10:42 AM,No moonset,08:45 AM,05:42 PM,-18,-24,-14,-24,36,31,68,0.0,1034,-12,10,65,26
2010-01-22,-15,-18,0.0,5.1,1,1,46,11:00 AM,12:23 AM,08:44 AM,05:43 PM,-21,-26,-16,-26,27,54,69,0.0,1034,-15,10,50,19
2010-01-23,-15,-18,0.0,6.9,1,1,53,11:21 AM,01:33 AM,08:43 AM,05:45 PM,-21,-25,-16,-25,24,63,67,0.0,1033,-15,10,56,17
2010-01-24,-15,-17,0.5,3.4,1,1,60,11:48 AM,02:46 AM,08:42 AM,05:46 PM,-18,-25,-16,-25,29,92,85,0.6,1028,-15,8,52,20
2010-01-25,-12,-15,1.3,3.4,1,1,68,12:23 PM,04:00 AM,08:41 AM,05:48 PM,-14,-21,-13,-21,24,100,91,1.6,1024,-12,8,68,17
2010-01-26,-11,-13,1.8,3.4,1,1,75,01:11 PM,05:13 AM,08:39 AM,05:49 PM,-13,-20,-12,-20,32,100,94,2.1,1027,-11,6,321,22
2010-01-27,-11,-15,2.2,3.4,1,1,82,02:14 PM,06:18 AM,08:38 AM,05:51 PM,-13,-21,-12,-21,33,100,96,2.6,1030,-11,6,323,22
2010-01-28,-12,-17,0.2,3.4,1,1,90,03:31 PM,07:12 AM,08:37 AM,05:53 PM,-15,-20,-14,-20,15,75,96,0.3,1019,-12,5,333,9
2010-01-29,-11,-21,0.0,5.2,1,1,97,04:57 PM,07:54 AM,08:36 AM,05:54 PM,-16,-21,-16,-21,20,45,95,0.0,1015,-11,6,165,12
2010-01-30,-2,-13,0.0,3.5,1,1,100,06:26 PM,08:26 AM,08:35 AM,05:56 PM,-8,-14,-7,-14,36,93,95,1.9,1014,-2,8,178,22
2010-01-31,-1,-9,0.0,5.2,1,1,100,07:53 PM,08:52 AM,08:33 AM,05:57 PM,-4,-9,-4,-9,23,63,97,0.1,1021,-1,8,105,13
2010-02-01,-3,-7,0.0,3.5,1,1,77,09:18 PM,09:15 AM,08:32 AM,05:59 PM,-5,-12,-5,-12,36,71,96,0.0,1020,-3,10,106,22
2010-02-02,-0,-3,0.0,4.9,1,1,69,10:40 PM,09:35 AM,08:30 AM,06:01 PM,-2,-7,-1,-7,27,96,98,0.0,1019,-0,10,112,17
2010-02-03,-1,-6,0.0,4.9,1,1,62,No moonrise,09:56 AM,08:29 AM,06:02 PM,-4,-11,-4,-11,40,99,97,0.0,1021,-1,10,84,26
2010-02-04,-7,-13,0.0,4.9,1,1,54,12:01 AM,10:17 AM,08:28 AM,06:04 PM,-12,-22,-11,-22,57,88,95,0.2,1028,-7,9,79,37
2010-02-05,-13,-16,0.0,9.8,1,1,47,01:19 AM,10:42 AM,08:26 AM,06:05 PM,-15,-25,-15,-25,45,26,94,0.0,1039,-13,10,60,27
2010-02-06,-12,-16,0.0,8.3,1,1,39,02:34 AM,11:13 AM,08:25 AM,06:07 PM,-15,-22,-14,-22,29,61,97,0.0,1037,-12,10,49,17
2010-02-07,-13,-16,0.0,9.9,1,1,32,03:45 AM,11:50 AM,08:23 AM,06:09 PM,-15,-23,-15,-23,32,49,96,0.0,1037,-13,10,86,18
2010-02-08,-9,-17,0.0,6.6,1,1,24,04:47 AM,12:35 PM,08:22 AM,06:10 PM,-13,-22,-12,-22,41,69,96,0.0,1032,-9,10,103,25
2010-02-09,-8,-11,0.0,5.0,1,1,16,05:40 AM,01:29 PM,08:20 AM,06:12 PM,-10,-19,-9,-19,49,98,96,0.6,1028,-8,5,101,32
2010-02-10,-9,-13,0.0,6.6,1,1,9,06:21 AM,02:30 PM,08:18 AM,06:14 PM,-12,-22,-12,-22,47,85,96,0.0,1036,-9,10,104,31
2010-02-11,-13,-18,0.0,10.0,1,1,1,06:55 AM,03:35 PM,08:17 AM,06:15 PM,-16,-26,-16,-26,44,35,95,0.0,1042,-13,10,99,27
2010-02-12,-12,-18,0.0,10.0,1,1,0,07:22 AM,04:42 PM,08:15 AM,06:17 PM,-16,-26,-15,-26,50,18,94,0.0,1044,-12,10,104,30
2010-02-13,-10,-16,0.0,10.1,1,1,0,07:43 AM,05:49 PM,08:14 AM,06:19 PM,-13,-23,-12,-23,50,23,94,0.0,1040,-10,10,114,30
2010-02-14,-4,-13,0.0,5.0,1,1,0,08:01 AM,06:54 PM,08:12 AM,06:20 PM,-9,-18,-9,-18,52,75,95,1.5,1028,-4,8,127,32
2010-02-15,-0,-2,0.0,5.1,1,1,6,08:18 AM,08:00 PM,08:10 AM,06:22 PM,-1,-7,-1,-7,38,97,97,1.4,1017,-0,9,139,24
2010-02-16,1,-1,0.0,5.1,1,1,13,08:34 AM,09:06 PM,08:08 AM,06:23 PM,0,-6,0,-6,45,100,98,7.7,1000,1,8,187,27
2010-02-17,-1,-4,0.2,5.1,1,1,21,08:50 AM,10:13 PM,08:07 AM,06:25 PM,-3,-8,-2,-8,36,96,95,0.6,1011,-1,7,288,23
2010-02-18,-3,-11,0.1,8.4,1,1,29,09:07 AM,11:22 PM,08:05 AM,06:27 PM,-7,-11,-7,-11,15,64,97,0.1,1019,-3,2,134,8
2010-02-19,-2,-13,0.2,5.1,1,1,36,09:27 AM,No moonset,08:03 AM,06:28 PM,-6,-11,-6,-11,17,84,98,0.2,1018,-2,3,102,10
2010-02-20,1,-2,0.1,5.1,1,1,44,09:51 AM,12:32 AM,08:01 AM,06:30 PM,-0,-4,-0,-4,24,97,99,0.5,1013,1,5,168,14
2010-02-21,1,1,0.0,5.2,1,1,51,10:22 AM,01:45 AM,08:00 AM,06:32 PM,1,-3,1,-3,32,100,100,2.7,1001,1,8,165,16
2010-02-22,2,1,0.0,5.4,1,1,59,11:03 AM,02:56 AM,07:58 AM,06:33 PM,1,-2,1,-2,25,100,100,4.4,998,2,2,189,13
2010-02-23,-0,-5,0.0,5.4,1,1,66,11:57 AM,04:02 AM,07:56 AM,06:35 PM,-4,-11,-3,-11,56,100,94,1.1,1009,-0,5,299,36
2010-02-24,-4,-8,0.0,7.0,1,1,74,01:05 PM,04:59 AM,07:54 AM,06:36 PM,-7,-13,-6,-13,32,72,94,0.0,1014,-4,9,331,21
2010-02-25,-1,-9,0.0,10.9,1,1,81,02:24 PM,05:45 AM,07:52 AM,06:38 PM,-8,-9,-5,-9,13,31,80,0.0,1017,-1,9,155,9
2010-02-26,-1,-6,0.0,10.9,1,1,89,03:50 PM,06:21 AM,07:50 AM,06:40 PM,-7,-7,-4,-7,12,27,82,0.0,1022,-1,8,119,8
2010-02-27,-2,-7,0.0,10.9,1,1,97,05:17 PM,06:50 AM,07:48 AM,06:41 PM,-9,-11,-5,-11,23,31,79,0.0,1022,-2,10,105,17
2010-02-28,-2,-7,0.0,11.0,1,1,100,06:44 PM,07:15 AM,07:46 AM,06:43 PM,-8,-11,-5,-11,22,28,77,0.0,1022,-2,10,87,16
2010-03-01,-1,-9,0.0,11.0,1,1,100,08:08 PM,07:36 AM,07:44 AM,06:45 PM,-8,-11,-5,-11,20,19,78,0.0,1024,-1,10,99,14
2010-03-02,2,-4,0.0,8.6,1,1,85,09:32 PM,07:57 AM,07:43 AM,06:46 PM,-3,-6,-2,-6,25,54,88,0.0,1020,2,9,129,16
2010-03-03,3,-1,0.0,5.5,1,1,78,10:54 PM,08:19 AM,07:41 AM,06:48 PM,-1,-3,0,-3,17,90,92,0.0,1015,3,7,111,11
2010-03-04,0,-1,2.9,5.6,1,1,71,No moonrise,08:43 AM,07:39 AM,06:49 PM,-0,-4,0,-4,20,100,97,7.0,1013,0,5,181,13
2010-03-05,2,-3,0.0,8.6,1,1,63,12:13 AM,09:12 AM,07:37 AM,06:51 PM,-4,-4,-1,-4,13,52,80,0.0,1017,2,10,185,9
2010-03-06,-1,-4,0.0,5.6,1,1,56,01:29 AM,09:48 AM,07:35 AM,06:52 PM,-4,-8,-3,-8,30,94,87,0.0,1015,-1,10,87,20
2010-03-07,1,-2,3.7,5.6,1,1,49,02:36 AM,10:31 AM,07:33 AM,06:54 PM,-1,-7,-1,-7,34,98,96,4.3,1010,1,6,148,22
2010-03-08,-2,-4,0.0,5.6,1,1,42,03:33 AM,11:23 AM,07:30 AM,06:56 PM,-4,-11,-3,-11,49,100,92,0.9,1017,-2,8,278,32
2010-03-09,-5,-12,0.0,11.3,1,1,34,04:19 AM,12:22 PM,07:28 AM,06:57 PM,-10,-14,-9,-14,19,39,93,0.0,1025,-5,8,246,12
2010-03-10,-5,-12,0.0,5.7,1,1,27,04:56 AM,01:26 PM,07:26 AM,06:59 PM,-9,-13,-8,-13,17,65,93,0.0,1025,-5,8,161,10
2010-03-11,-1,-11,0.0,11.6,1,1,20,05:25 AM,02:32 PM,07:24 AM,07:00 PM,-7,-13,-7,-13,30,27,95,0.0,1026,-1,8,266,19
2010-03-12,0,-9,0.0,8.8,1,1,12,05:48 AM,03:39 PM,07:22 AM,07:02 PM,-4,-8,-4,-8,27,62,94,1.5,1017,0,9,156,16
2010-03-13,1,0,0.2,5.9,1,1,5,06:08 AM,04:45 PM,07:20 AM,07:03 PM,0,-4,1,-4,28,92,99,0.4,1009,1,8,229,17
2010-03-14,1,-0,0.0,5.9,1,1,0,06:25 AM,05:51 PM,07:18 AM,07:05 PM,-1,-5,0,-5,30,79,95,0.2,1008,1,9,241,18
2010-03-15,2,-7,0.0,6.0,1,1,0,06:41 AM,06:57 PM,07:16 AM,07:07 PM,-2,-6,-1,-6,25,57,97,0.0,1011,2,7,218,14
2010-03-16,2,-4,0.8,6.0,1,1,2,06:57 AM,08:04 PM,07:14 AM,07:08 PM,-1,-6,-1,-6,30,59,95,0.9,1007,2,9,225,18
2010-03-17,0,-6,0.8,8.8,1,1,9,07:15 AM,09:13 PM,07:12 AM,07:10 PM,-5,-9,-3,-9,36,44,90,1.0,1017,0,9,248,22
2010-03-18,-2,-10,0.1,7.4,1,1,16,07:34 AM,10:23 PM,07:10 AM,07:11 PM,-7,-11,-6,-11,23,44,90,0.1,1025,-2,9,274,14
2010-03-19,-5,-13,0.0,11.6,1,1,24,07:57 AM,11:35 PM,07:08 AM,07:13 PM,-10,-14,-9,-14,18,18,91,0.0,1031,-5,10,188,10
2010-03-20,4,-7,0.0,7.4,1,1,31,08:26 AM,No moonset,07:05 AM,07:14 PM,-1,-6,-0,-6,50,79,94,2.5,1024,4,9,239,27
2010-03-21,6,1,0.0,8.8,1,1,38,09:03 AM,12:45 AM,07:03 AM,07:16 PM,2,-2,3,-2,41,53,94,0.0,1022,6,10,236,22
2010-03-22,10,2,0.0,8.8,1,1,46,09:52 AM,01:52 AM,07:01 AM,07:17 PM,4,1,5,1,35,63,94,0.0,1014,10,10,231,20
2010-03-23,6,1,0.0,6.3,1,1,53,10:53 AM,02:51 AM,06:59 AM,07:19 PM,2,-0,4,-0,28,86,87,1.6,1017,6,10,290,18
2010-03-24,9,-2,0.0,10.3,1,1,60,12:05 PM,03:40 AM,06:57 AM,07:20 PM,0,0,3,0,21,32,81,0.0,1022,9,9,222,13
2010-03-25,6,-0,0.0,10.3,1,1,67,01:26 PM,04:18 AM,06:55 AM,07:22 PM,-0,-1,3,-1,26,25,82,0.0,1021,6,9,310,18
2010-03-26,5,-2,0.0,11.6,1,1,75,02:49 PM,04:49 AM,06:53 AM,07:23 PM,-6,-3,0,-3,14,6,65,0.0,1033,5,10,228,10
2010-03-27,6,-3,0.0,11.6,1,1,82,04:13 PM,05:15 AM,06:51 AM,07:25 PM,-8,-3,1,-3,25,9,55,0.0,1033,6,10,138,16
2010-03-28,10,-2,0.0,11.6,1,1,89,05:37 PM,05:37 AM,06:48 AM,07:26 PM,-4,-2,3,-2,42,13,59,0.0,1022,10,10,121,26
2010-03-29,12,1,0.0,11.6,1,1,96,07:00 PM,05:58 AM,06:46 AM,07:28 PM,-3,2,6,2,39,9,53,0.0,1018,12,10,122,24
2010-03-30,14,2,0.0,11.6,1,1,100,08:23 PM,06:19 AM,06:44 AM,07:29 PM,-2,5,7,5,21,11,52,0.0,1020,14,10,112,12
